	Insufficient time between engineering and construction	Lack of memory for flexibility calculations	Inadequate deadlines for engineering	Schedule without buffers to accommodate changes	Inefficient project budgeting	Incorrect resource estimation	Premature project start date	Lack of necessary information for scheduling	Scheduling of isometric assembly on hold	Unclear authority and responsibility assignments	Lack of procedures for executing pipeline activities	High turnover of field workers	Inadequate quality control of pipeline activities	Poor working conditions	Lack of knowledge of materials or unprepared warehouse team	Inadequate control of equipment and materials	Incorrect identification of materials in the field	Client-driven project changes	Unforeseen site conditions (underground, soil, etc.)	Welding of pipelines with inadequate specification procedures	Lack of integration of pipeline scheduling with other disciplines	Separation between disciplines	Communication failure between leadership and work fronts	Lack of knowledge	Lack of operational training in construction and pipeline assembly	Frequent changes in team structure	Lack of preliminary study of activities to be executed	Non-compliant material supply	Undersized team	Fragmented purchasing orders due to incomplete engineering	Lack of consolidation of the 3D model or project maturity	Lack of registration and control of non-conformities in pipeline activities	Execution with unapproved information and projects	Failure in document management/quality system	Supplier request issues	Failure in knowledge transfer of field routines	Lack of qualification and certification of welders to inspect and release previous work	Inexperience and insecurity of inspectors	Inexperience in inspecting pipeline materials and equipment	Difficulty in registering and measuring Rework
Correctly sequence activity execution	5,24	6,02	7,89	8,51	6,85	7,01	8,51	8,51	8,46	3,89	8,30	4,56	6,41	6,05	5,55	4,99	4,63	3,61	6,28	6,17	7,03	7,28	7,30	7,82	5,49	3,90	8,20	4,49	6,53	5,88	6,24	6,39	6,12	5,01	4,65	4,75	4,63	4,64	4,65	5,75
Simplify assembly and employ more productive welding methods	4,70	4,18	4,59	6,99	5,10	5,52	5,65	5,02	5,29	3,83	5,16	3,65	5,24	6,38	4,59	4,70	4,94	5,11	4,23	6,84	5,85	6,19	6,19	6,99	6,94	6,10	6,23	4,34	3,60	4,55	6,89	5,03	5,00	5,29	4,59	6,60	6,54	6,51	5,84	5,03
Train and qualify employees	5,01	6,23	6,87	8,24	7,84	6,23	6,23	7,78	7,72	7,59	8,67	7,11	8,63	6,62	7,80	7,99	8,12	5,33	5,23	7,65	7,49	7,64	7,89	8,46	8,97	8,24	7,81	7,19	6,02	5,46	7,30	7,71	7,74	7,84	6,03	7,84	7,84	7,62	7,48	7,43
Improve the worker selection process	4,44	3,07	3,66	3,47	3,90	3,39	3,95	4,82	4,37	3,31	3,96	6,87	5,52	4,82	5,42	5,64	5,52	4,33	5,22	5,64	4,30	4,10	5,52	8,49	6,12	7,54	5,24	5,60	4,32	5,16	5,36	6,41	5,17	5,17	3,70	5,16	7,45	6,92	6,89	6,87
Certify welders	4,37	3,12	3,87	4,91	3,89	3,80	4,70	4,12	2,89	3,45	5,46	5,41	5,01	5,16	4,93	4,46	3,95	3,26	3,70	7,65	3,90	3,68	4,55	7,23	7,65	4,90	5,58	6,28	3,49	4,23	4,22	6,57	6,44	4,98	4,21	7,01	7,63	6,35	6,76	6,15
Implement a training and retraining plan for recruited professionals	4,37	3,27	4,37	5,02	4,82	4,63	5,07	7,04	7,40	4,74	6,55	5,67	6,50	6,03	6,87	7,31	7,28	4,84	5,89	6,64	6,35	6,49	6,60	7,21	7,58	6,54	7,04	6,51	5,73	5,89	6,11	6,71	6,81	6,33	5,11	6,70	7,38	6,66	6,81	6,89
Enforce stricter criteria in the material/equipment receiving process	4,27	3,38	4,08	5,00	4,34	4,20	4,63	5,75	5,16	4,10	6,29	3,50	6,55	3,93	6,94	6,55	8,21	3,71	3,55	4,20	4,23	4,14	3,50	6,55	6,84	4,27	4,53	8,44	3,56	5,91	4,37	6,55	3,87	6,94	7,87	4,74	4,53	7,14	6,56	6,60
Develop and monitor a preventive maintenance plan for equipment	4,16	3,03	3,95	4,98	4,65	5,21	4,82	4,12	3,83	4,78	4,98	3,20	5,01	6,57	4,34	6,18	4,37	3,20	3,98	3,99	5,36	4,77	6,32	6,46	5,23	4,67	5,10	3,61	4,34	3,99	3,90	3,61	4,77	4,77	4,91	4,82	3,24	6,17	5,99	5,92
Review, adjust, and expand the list of equipment/material suppliers	4,08	3,56	4,10	5,00	5,49	5,24	5,37	5,29	5,99	3,87	4,52	3,62	4,03	2,94	5,19	5,32	5,35	4,56	3,70	4,17	4,03	3,95	2,75	5,87	4,91	5,12	4,09	7,05	3,45	4,80	3,05	4,06	3,95	3,95	7,10	4,06	4,06	4,16	4,27	4,38
Inspect the handling, packaging, and transportation of materials	4,19	3,39	4,08	4,82	3,89	5,07	4,48	4,79	4,41	4,09	5,52	4,19	6,23	6,02	6,91	7,92	8,08	3,61	3,58	4,25	4,89	4,98	5,29	5,84	6,13	5,69	4,40	6,42	4,57	6,57	4,55	3,99	4,53	6,70	6,85	4,59	4,67	6,94	6,76	6,24
Continuously monitor and organize the stock of spools	4,10	2,80	4,23	6,32	3,59	3,56	5,07	6,09	6,02	4,51	6,55	4,76	5,32	5,84	5,52	6,65	6,38	4,59	4,01	5,19	5,55	5,51	6,84	6,98	6,12	6,34	5,29	6,39	5,64	6,00	6,17	5,99	4,73	6,02	5,07	6,08	4,90	6,35	6,22	5,91
Study in detail the area defined for the installation of the ‘pipe shop’ and its layout	5,82	3,22	5,35	4,94	3,45	4,01	6,73	5,07	3,62	3,60	3,71	3,50	3,81	7,26	3,27	3,73	4,07	5,11	5,95	3,99	5,24	4,87	4,94	6,22	4,37	4,34	7,16	4,14	4,10	3,20	5,16	4,16	5,07	4,03	3,65	4,05	3,71	3,93	3,93	4,06
Integrate the activities of the support team and pipeline assembly	4,23	5,29	5,16	6,38	4,72	3,93	6,35	6,76	7,06	4,67	6,13	5,16	6,60	6,70	5,69	5,55	5,32	4,90	4,42	4,16	6,53	6,54	7,05	7,34	7,34	6,81	6,08	5,81	5,12	3,83	4,41	5,40	5,74	5,84	5,07	6,07	4,27	5,42	5,52	5,52
Hold meetings with all areas and teams involved during scheduling	4,82	3,90	5,29	6,89	5,07	6,94	6,65	6,87	6,49	7,05	5,37	5,64	5,01	5,11	5,37	5,60	5,98	5,34	6,11	6,23	7,78	7,54	7,17	6,13	5,16	5,98	6,18	5,11	5,79	5,21	5,82	4,74	4,99	4,79	4,87	6,80	5,08	4,79	4,79	5,69
Constantly monitor local weather conditions for planning and rescheduling	5,07	2,42	3,65	5,77	2,75	3,22	4,27	5,64	3,11	2,81	3,02	2,78	3,01	3,31	2,97	2,97	3,03	3,24	3,83	3,50	4,50	3,83	4,87	6,28	3,39	2,87	6,38	3,32	3,31	3,22	2,52	3,34	3,54	3,04	3,12	4,09	3,01	3,45	3,65	3,39
Develop or improve the communication plan with all necessary details, such as responsibility matrix, communication channels, frequency, control, and verification of its application	4,44	3,87	4,41	5,10	4,29	5,29	5,29	5,92	5,37	7,16	4,99	3,85	5,24	5,21	4,95	5,00	5,04	6,64	4,90	5,03	5,32	5,19	6,91	6,07	6,49	3,83	5,06	5,27	5,27	5,00	5,41	5,16	5,42	6,74	5,93	6,94	5,03	5,32	5,21	7,10
