Causes;Causes Label;Mitigating Actions;Mitigating Actions Label;Cluster;Paper ID
Frequent or late design changes introduced during construction, often due to incomplete or unclear initial designs, inadequate review, or client-driven modifications, resulting in repeated work.;C042;Establish strict change management policies, including design and scope freezing, to limit alterations during project execution and maintain schedule integrity.;A15;Design;2
Inadequate technical expertise, insufficient training, or lack of practical knowledge among project personnel, including designers and technical staff, leading to errors, omissions, and execution failures.;C049;Increase investment in comprehensive training programs and hire skilled or experienced personnel to ensure critical tasks are adequately staffed, improving overall workforce competence and reducing errors.;A20;Human Resources;2
Insufficient or ineffective supervisory oversight during project execution, resulting in failure to detect, monitor, or rectify errors promptly and consequently leading to rework.;C059;Increase supervisory staffing levels, provide enhanced training, and strengthen accountability measures to improve oversight, timely intervention, and on-site quality control.;A21;Management and Supervision;2
Time pressure caused by aggressive, unrealistic schedules and tight deadlines, forcing project teams to rush critical activities without sufficient time for quality assurance, error correction, or proper coordination.;C107;Adopt realistic scheduling practices, ensure sufficient allocation of time and resources, and avoid overly compressed timelines to enhance quality and reduce schedule-driven errors.;A03;Time & Planning;2
Poor or inadequate planning, scheduling, and resource allocation, resulting in task overlaps, conflicts, operational pressures, mismanagement, and errors that trigger rework.;C088;Adopt realistic scheduling practices, ensure sufficient allocation of time and resources, and avoid overly compressed timelines to enhance quality and reduce schedule-driven errors.;A03;Time & Planning;2
Deficiencies in procurement processes and contract management practices that result in execution issues and subsequent rework.;C019;Strengthen contract management practices, enforce clear contractual terms, and ensure timely payments and accountability through well-defined contracts and rigorous change orders.;A26;Contractor Selection & Performance;2
Insufficient skills, inadequate vocational training, limited experience, or poor competency among the workforce and supervisory staff, leading to mistakes, mismanagement, and rework.;C060;Increase investment in comprehensive training programs and hire skilled or experienced personnel to ensure critical tasks are adequately staffed, improving overall workforce competence and reducing errors.;A20;Human Resources;2
Insufficient availability or shortage of skilled personnel, including supervisory staff and engineers, resulting in overburdened teams, inadequate oversight, and increased errors requiring rework.;C055;Adopt realistic scheduling practices, ensure sufficient allocation of time and resources, and avoid overly compressed timelines to enhance quality and reduce schedule-driven errors.;A03;Human Resources;2
Selection of contractors or subcontractors based primarily on the lowest bid, without adequately evaluating qualifications, experience, or technical capability, leading to quality issues, inadequate performance, and subsequent rework.;C098;Revise procurement and contractor selection strategies to prioritize qualifications, proven technical competence, and quality performance over lowest cost.;A24;Contractor Selection & Performance;2
Designs lacking practical constructability or feasibility, often caused by inadequate consideration of construction methods, insufficient detailing, or poor communication between design and execution teams.;C026;Enforce rigorous and early design review processes, implement clash detection and constructability analysis, and finalize project scope/design prior to construction to reduce mid-project changes and errors.;A09;Design;2
The selection or deliberate use of substandard, inferior, or defective materials that fail to meet quality specifications, leading to construction defects and necessitating rework or repairs.;C105;Enforce strict material quality controls, conduct rigorous quality checks during procurement, and establish effective supply-chain management to avoid material-related errors and compromises.;A10;Material Resources;2
Inadequate technical expertise, insufficient training, or lack of practical knowledge among project personnel, including designers and technical staff, leading to errors, omissions, and execution failures.;C049;Provide targeted training, mentorship, continuous education, and effective knowledge management practices to build workforce capability and reduce human errors.;A23;Human Resources;2
Ineffective or inadequate communication channels and ambiguous information exchange among project stakeholders, resulting in misunderstandings, errors, documentation omissions, and conflicts during project execution.;C053;Implement formal, robust communication protocols and enhance information management systems to ensure accurate and timely dissemination of critical project information.;A18;Communication;2
Poor quality workmanship, negative attitudes, or substandard construction practices leading directly to execution errors and defects requiring correction or rework.;C090;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Human Resources;2
Errors arising from ineffective or inadequate design processes, including poor communication, superficial reviews, insufficient quality management, fragmented teams, and resource constraints, leading to flawed or inconsistent designs.;C031;Engage construction professionals and contractors early during the design stage to incorporate their insights, enhance constructability, and clarify client requirements, thereby reducing later-stage rework.;A12;Design;5
Insufficient skills, inadequate vocational training, limited experience, or poor competency among the workforce and supervisory staff, leading to mistakes, mismanagement, and rework.;C060;Increase investment in comprehensive training programs and hire skilled or experienced personnel to ensure critical tasks are adequately staffed, improving overall workforce competence and reducing errors.;A20;Human Resources;5
Selection of contractors or subcontractors based primarily on the lowest bid, without adequately evaluating qualifications, experience, or technical capability, leading to quality issues, inadequate performance, and subsequent rework.;C098;Revise procurement and contractor selection strategies to prioritize qualifications, proven technical competence, and quality performance over lowest cost.;A24;Contractor Selection & Performance;5
Design failures resulting from deviations between the detailed design specifications and actual construction conditions, often linked to substandard materials, improper workmanship, or inadequate alignment between design intent and execution.;C025;Enforce strict material quality controls, conduct rigorous quality checks during procurement, and establish effective supply-chain management to avoid material-related errors and compromises.;A10;Design;5
Insufficient skills, inadequate vocational training, limited experience, or poor competency among the workforce and supervisory staff, leading to mistakes, mismanagement, and rework.;C060;Enforce stricter professional qualification standards and recruit skilled personnel while providing continuous training and professional development to maintain high-quality execution standards.;A11;Human Resources;6
The selection or deliberate use of substandard, inferior, or defective materials that fail to meet quality specifications, leading to construction defects and necessitating rework or repairs.;C105;Enforce strict material quality controls, conduct rigorous quality checks during procurement, and establish effective supply-chain management to avoid material-related errors and compromises.;A10;Material Resources;6
Insufficient or ineffective supervisory oversight during project execution, resulting in failure to detect, monitor, or rectify errors promptly and consequently leading to rework.;C059;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Management and Supervision;6
Insufficient skills, inadequate vocational training, limited experience, or poor competency among the workforce and supervisory staff, leading to mistakes, mismanagement, and rework.;C060;Provide targeted training, mentorship, continuous education, and effective knowledge management practices to build workforce capability and reduce human errors.;A23;Human Resources;6
Lack of clear emphasis, accountability, and vision regarding quality from project leadership, resulting in inadequate prioritization of quality management and subsequent defects.;C064;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Management and Supervision;6
Time pressure caused by aggressive, unrealistic schedules and tight deadlines, forcing project teams to rush critical activities without sufficient time for quality assurance, error correction, or proper coordination.;C107;Adopt realistic scheduling practices, ensure sufficient allocation of time and resources, and avoid overly compressed timelines to enhance quality and reduce schedule-driven errors.;A03;Time & Planning;6
Time pressure caused by aggressive, unrealistic schedules and tight deadlines, forcing project teams to rush critical activities without sufficient time for quality assurance, error correction, or proper coordination.;C107;Establish strict change management policies, including design and scope freezing, to limit alterations during project execution and maintain schedule integrity.;A15;Time & Planning;10
Budget reductions, cost fluctuations, or financial constraints imposed by the client after project commencement, leading contractors to adopt cost-saving measures or changes that compromise project quality.;C015;Strengthen contract management practices, enforce clear contractual terms, and ensure timely payments and accountability through well-defined contracts and rigorous change orders.;A26;Financial Constraints;10
Late payments and insufficient financial resources disrupting contractors' cash flow, leading to compromises in materials and workmanship quality.;C069;Strengthen contract management practices, enforce clear contractual terms, and ensure timely payments and accountability through well-defined contracts and rigorous change orders.;A26;Financial Constraints;10
Selection of contractors or subcontractors based primarily on the lowest bid, without adequately evaluating qualifications, experience, or technical capability, leading to quality issues, inadequate performance, and subsequent rework.;C098;Revise procurement and contractor selection strategies to prioritize qualifications, proven technical competence, and quality performance over lowest cost.;A24;Contractor Selection & Performance;10
Insufficient skills, inadequate vocational training, limited experience, or poor competency among the workforce and supervisory staff, leading to mistakes, mismanagement, and rework.;C060;Increase investment in comprehensive training programs and hire skilled or experienced personnel to ensure critical tasks are adequately staffed, improving overall workforce competence and reducing errors.;A20;Human Resources;10
Insufficient skills, inadequate vocational training, limited experience, or poor competency among the workforce and supervisory staff, leading to mistakes, mismanagement, and rework.;C060;Provide targeted training, mentorship, continuous education, and effective knowledge management practices to build workforce capability and reduce human errors.;A23;Human Resources;10
Errors, omissions, or inaccuracies in design documents or technical specifications caused by tight deadlines, complexity, or insufficient coordination, necessitating corrections during construction.;C033;Improve documentation preparation and implement robust document auditing and control systems to ensure document accuracy and consistency throughout the project lifecycle.;A19;Design;10
Poor quality workmanship, negative attitudes, or substandard construction practices leading directly to execution errors and defects requiring correction or rework.;C090;Provide targeted training, mentorship, continuous education, and effective knowledge management practices to build workforce capability and reduce human errors.;A23;Human Resources;10
The selection or deliberate use of substandard, inferior, or defective materials that fail to meet quality specifications, leading to construction defects and necessitating rework or repairs.;C105;Revise procurement and contractor selection strategies to prioritize qualifications, proven technical competence, and quality performance over lowest cost.;A24;Material Resources;10
Modifications forced by discrepancies or conflicts between initial design assumptions and unforeseen actual site conditions, requiring immediate adjustments.;C077;Establish strict change management policies, including design and scope freezing, to limit alterations during project execution and maintain schedule integrity.;A15;Design;10
Errors arising from ineffective or inadequate design processes, including poor communication, superficial reviews, insufficient quality management, fragmented teams, and resource constraints, leading to flawed or inconsistent designs.;C031;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Design;11
Inadequate or ineffective quality management systems and procedures, including insufficient implementation, monitoring, and control measures, leading to recurring defects and rework.;C047;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Management and Supervision;11
Client-initiated changes or modifications in the project scope, design, or specifications during construction, requiring adjustments, redesign, demolition, or rework, often resulting in delays, increased complexity, and material wastage.;C017;Enforce rigorous and early design review processes, implement clash detection and constructability analysis, and finalize project scope/design prior to construction to reduce mid-project changes and errors.;A09;Client-Driven Influences;11
Ambiguous, inadequate, or unclear instructions provided to on-site workers, leading to execution errors.;C010;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Documentation & Information Management;11
Errors arising from ineffective or inadequate design processes, including poor communication, superficial reviews, insufficient quality management, fragmented teams, and resource constraints, leading to flawed or inconsistent designs.;C031;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Design;11
Contractor-initiated changes (without proper approval) that deviate from the original design.;C018;Strengthen contract management practices, enforce clear contractual terms, and ensure timely payments and accountability through well-defined contracts and rigorous change orders.;A26;Contractor Selection & Performance;11
Insufficient or ineffective supervisory oversight during project execution, resulting in failure to detect, monitor, or rectify errors promptly and consequently leading to rework.;C059;Increase supervisory staffing levels, provide enhanced training, and strengthen accountability measures to improve oversight, timely intervention, and on-site quality control.;A21;Management and Supervision;11
The selection or deliberate use of substandard, inferior, or defective materials that fail to meet quality specifications, leading to construction defects and necessitating rework or repairs.;C105;Enforce strict material quality controls, conduct rigorous quality checks during procurement, and establish effective supply-chain management to avoid material-related errors and compromises.;A10;Material Resources;11
Ambiguous, incomplete, or erroneous contract and design documentation causing misunderstandings, misinterpretations, and subsequent rework during project execution.;C011;Improve documentation preparation and implement robust document auditing and control systems to ensure document accuracy and consistency throughout the project lifecycle.;A19;Documentation & Information Management;11
Errors arising from ineffective or inadequate design processes, including poor communication, superficial reviews, insufficient quality management, fragmented teams, and resource constraints, leading to flawed or inconsistent designs.;C031;Enforce rigorous and early design review processes, implement clash detection and constructability analysis, and finalize project scope/design prior to construction to reduce mid-project changes and errors.;A09;Design;11
Insufficient skills, inadequate vocational training, limited experience, or poor competency among the workforce and supervisory staff, leading to mistakes, mismanagement, and rework.;C060;Increase investment in comprehensive training programs and hire skilled or experienced personnel to ensure critical tasks are adequately staffed, improving overall workforce competence and reducing errors.;A20;Human Resources;11
Not allocating enough time to prepare detailed and accurate contract documents.;C078;Improve documentation preparation and implement robust document auditing and control systems to ensure document accuracy and consistency throughout the project lifecycle.;A19;Time & Planning;11
Poor or inadequate planning, scheduling, and resource allocation, resulting in task overlaps, conflicts, operational pressures, mismanagement, and errors that trigger rework.;C088;Adopt realistic scheduling practices, ensure sufficient allocation of time and resources, and avoid overly compressed timelines to enhance quality and reduce schedule-driven errors.;A03;Time & Planning;11
Designs lacking practical constructability or feasibility, often caused by inadequate consideration of construction methods, insufficient detailing, or poor communication between design and execution teams.;C026;Enforce rigorous and early design review processes, implement clash detection and constructability analysis, and finalize project scope/design prior to construction to reduce mid-project changes and errors.;A09;Design;11
Insufficient skills, inadequate vocational training, limited experience, or poor competency among the workforce and supervisory staff, leading to mistakes, mismanagement, and rework.;C060;Provide targeted training, mentorship, continuous education, and effective knowledge management practices to build workforce capability and reduce human errors.;A23;Human Resources;12
Ineffective or inadequate communication channels and ambiguous information exchange among project stakeholders, resulting in misunderstandings, errors, documentation omissions, and conflicts during project execution.;C053;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Communication;12
Errors, omissions, or inaccuracies in design documents or technical specifications caused by tight deadlines, complexity, or insufficient coordination, necessitating corrections during construction.;C033;Enforce rigorous and early design review processes, implement clash detection and constructability analysis, and finalize project scope/design prior to construction to reduce mid-project changes and errors.;A09;Design;12
Inadequate or ineffective quality management systems and procedures, including insufficient implementation, monitoring, and control measures, leading to recurring defects and rework.;C047;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Management and Supervision;12
Late payments and insufficient financial resources disrupting contractors' cash flow, leading to compromises in materials and workmanship quality.;C069;Strengthen contract management practices, enforce clear contractual terms, and ensure timely payments and accountability through well-defined contracts and rigorous change orders.;A26;Financial Constraints;12
Rework caused by unclear or changing project scope, inadequate initial planning, or insufficient integration of objectives into design, often leading to later modifications.;C095;Develop and enforce a detailed sustainability plan at project inception to integrate sustainability goals explicitly into design and construction processes.;A06;Design;12
Client-initiated changes or modifications in the project scope, design, or specifications during construction, requiring adjustments, redesign, demolition, or rework, often resulting in delays, increased complexity, and material wastage.;C017;Establish strict change management policies, including design and scope freezing, to limit alterations during project execution and maintain schedule integrity.;A15;Client-Driven Influences;12
Interruptions in material supply or procurement of materials that fail to meet quality and sustainability criteria, necessitating rework.;C062;Enforce strict material quality controls, conduct rigorous quality checks during procurement, and establish effective supply-chain management to avoid material-related errors and compromises.;A10;Material Resources;12
Intense or excessive pressure from ambitious and overly optimistic schedules that leads to rushed work, overlooked errors, reduced quality, and cutting corners.;C061;Adopt realistic scheduling practices, ensure sufficient allocation of time and resources, and avoid overly compressed timelines to enhance quality and reduce schedule-driven errors.;A03;Time & Planning;13
Insufficient availability or shortage of skilled personnel, including supervisory staff and engineers, resulting in overburdened teams, inadequate oversight, and increased errors requiring rework.;C055;Provide targeted training, mentorship, continuous education, and effective knowledge management practices to build workforce capability and reduce human errors.;A23;Human Resources;13
Ineffective communication and coordination among various stakeholders or between different disciplines (such as design teams, contractors, and operators), resulting in design changes, conflicts, misunderstandings, and ultimately rework.;C052;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Communication;13
Selection of contractors or subcontractors based primarily on the lowest bid, without adequately evaluating qualifications, experience, or technical capability, leading to quality issues, inadequate performance, and subsequent rework.;C098;Engage construction professionals and contractors early during the design stage to incorporate their insights, enhance constructability, and clarify client requirements, thereby reducing later-stage rework.;A12;Contractor Selection & Performance;13
Unrealistic, ambiguous, or unclear project objectives or expectations set by the client, often due to insufficient expertise, causing frequent decision changes, compromised quality, redefinition of scope, and subsequent rework.;C110;Engage construction professionals and contractors early during the design stage to incorporate their insights, enhance constructability, and clarify client requirements, thereby reducing later-stage rework.;A12;Client-Driven Influences;14
A project delivery mindset that prioritizes short-term, measurable outputs (cost and time) over long-term quality outcomes.;C003;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Time & Planning;14
Lack of clear emphasis, accountability, and vision regarding quality from project leadership, resulting in inadequate prioritization of quality management and subsequent defects.;C064;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Management and Supervision;14
Insufficient skills, inadequate vocational training, limited experience, or poor competency among the workforce and supervisory staff, leading to mistakes, mismanagement, and rework.;C060;Increase investment in comprehensive training programs and hire skilled or experienced personnel to ensure critical tasks are adequately staffed, improving overall workforce competence and reducing errors.;A20;Human Resources;14
Insufficient or ineffective supervisory oversight during project execution, resulting in failure to detect, monitor, or rectify errors promptly and consequently leading to rework.;C059;Increase supervisory staffing levels, provide enhanced training, and strengthen accountability measures to improve oversight, timely intervention, and on-site quality control.;A21;Management and Supervision;14
Frequent or late design changes introduced during construction, often due to incomplete or unclear initial designs, inadequate review, or client-driven modifications, resulting in repeated work.;C042;Enforce rigorous and early design review processes, implement clash detection and constructability analysis, and finalize project scope/design prior to construction to reduce mid-project changes and errors.;A09;Design;14
Failure to clearly articulate, understand, or communicate quality requirements, client needs, or expectations among stakeholders, leading to design changes and rework.;C035;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Communication;14
Poor coordination, collaboration, communication, and clarity of responsibilities among project stakeholders, leading to misunderstandings, conflicting actions, and increased errors and rework.;C082;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Management and Supervision;16
Poor internal communication and insufficient dialogue or collaboration within the organization, causing delays, additional work, and ineffective decision-making.;C084;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Communication;16
Insufficient skills, inadequate vocational training, limited experience, or poor competency among the workforce and supervisory staff, leading to mistakes, mismanagement, and rework.;C060;Provide targeted training, mentorship, continuous education, and effective knowledge management practices to build workforce capability and reduce human errors.;A23;Human Resources;17
The selection or deliberate use of substandard, inferior, or defective materials that fail to meet quality specifications, leading to construction defects and necessitating rework or repairs.;C105;Enforce strict material quality controls, conduct rigorous quality checks during procurement, and establish effective supply-chain management to avoid material-related errors and compromises.;A10;Material Resources;17
Frequent or late design changes introduced during construction, often due to incomplete or unclear initial designs, inadequate review, or client-driven modifications, resulting in repeated work.;C042;Engage construction professionals and contractors early during the design stage to incorporate their insights, enhance constructability, and clarify client requirements, thereby reducing later-stage rework.;A12;Design;17
Structural or design modifications introduced at a late stage or inadequately communicated, forcing revisions, omissions, or errors requiring additional rework.;C100;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Client-Driven Influences;19
An engineer assumed that a subcontractor misinterpreted the drawings, resulting in a drainage pit being installed 330?mm too high.;C012;Enforce stricter professional qualification standards and recruit skilled personnel while providing continuous training and professional development to maintain high-quality execution standards.;A11;Contractor Selection & Performance;19
Unsatisfactory supervision during concrete cutting led to damage of a rail head.;C111;Increase supervisory staffing levels, provide enhanced training, and strengthen accountability measures to improve oversight, timely intervention, and on-site quality control.;A21;Management and Supervision;19
Poor coordination, collaboration, communication, and clarity of responsibilities among project stakeholders, leading to misunderstandings, conflicting actions, and increased errors and rework.;C082;Enforce rigorous and early design review processes, implement clash detection and constructability analysis, and finalize project scope/design prior to construction to reduce mid-project changes and errors.;A09;Management and Supervision;19
Modifications forced by discrepancies or conflicts between initial design assumptions and unforeseen actual site conditions, requiring immediate adjustments.;C077;Enforce rigorous and early design review processes, implement clash detection and constructability analysis, and finalize project scope/design prior to construction to reduce mid-project changes and errors.;A09;Design;19
Design failures resulting from deviations between the detailed design specifications and actual construction conditions, often linked to substandard materials, improper workmanship, or inadequate alignment between design intent and execution.;C025;Implement advanced, ontology-based BIM technologies and automated compliance checking to enhance design quality, clarity, and reduce deviations from project specifications.;A16;Design;21
Improper handling, transportation, storage, or safeguarding of materials and components, resulting in physical damage, defects, or deterioration that require corrective rework.;C044;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Material Resources;21
Issues arising from incorrect or late material delivery, inappropriate substitutions of materials or technology mid-process, or problems during assembly and installation, necessitating rework to meet specified criteria.;C063;Implement advanced, ontology-based BIM technologies and automated compliance checking to enhance design quality, clarity, and reduce deviations from project specifications.;A16;Material Resources;21
Inconsistencies, gaps, or contradictory information across project data and documentation, causing conflicts, misinterpretations, and rework risks.;C050;Implement advanced, ontology-based BIM technologies and automated compliance checking to enhance design quality, clarity, and reduce deviations from project specifications.;A16;Documentation & Information Management;21
Inadequate technical expertise, insufficient training, or lack of practical knowledge among project personnel, including designers and technical staff, leading to errors, omissions, and execution failures.;C049;Implement advanced, ontology-based BIM technologies and automated compliance checking to enhance design quality, clarity, and reduce deviations from project specifications.;A16;Human Resources;22
Errors and rework driven by poor communication, misinterpretation, missing details, or misalignment between design deliverables and construction execution.;C030;Implement advanced, ontology-based BIM technologies and automated compliance checking to enhance design quality, clarity, and reduce deviations from project specifications.;A16;Design;22
Inadequate integration or backward flow of critical project information across different stages, obscuring potential rework risks.;C046;Implement advanced, ontology-based BIM technologies and automated compliance checking to enhance design quality, clarity, and reduce deviations from project specifications.;A16;Documentation & Information Management;22
Poor coordination, collaboration, communication, and clarity of responsibilities among project stakeholders, leading to misunderstandings, conflicting actions, and increased errors and rework.;C082;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Management and Supervision;22
Designs lacking practical constructability or feasibility, often caused by inadequate consideration of construction methods, insufficient detailing, or poor communication between design and execution teams.;C026;Implement advanced, ontology-based BIM technologies and automated compliance checking to enhance design quality, clarity, and reduce deviations from project specifications.;A16;Design;22
Errors arising from ineffective or inadequate design processes, including poor communication, superficial reviews, insufficient quality management, fragmented teams, and resource constraints, leading to flawed or inconsistent designs.;C031;Enforce stricter professional qualification standards and recruit skilled personnel while providing continuous training and professional development to maintain high-quality execution standards.;A11;Design;23
Client-initiated changes or modifications in the project scope, design, or specifications during construction, requiring adjustments, redesign, demolition, or rework, often resulting in delays, increased complexity, and material wastage.;C017;Establish strict change management policies, including design and scope freezing, to limit alterations during project execution and maintain schedule integrity.;A15;Client-Driven Influences;24
Ineffective or inadequate communication channels and ambiguous information exchange among project stakeholders, resulting in misunderstandings, errors, documentation omissions, and conflicts during project execution.;C053;Implement formal, robust communication protocols and enhance information management systems to ensure accurate and timely dissemination of critical project information.;A18;Communication;25
Client-initiated changes or modifications in the project scope, design, or specifications during construction, requiring adjustments, redesign, demolition, or rework, often resulting in delays, increased complexity, and material wastage.;C017;Establish strict change management policies, including design and scope freezing, to limit alterations during project execution and maintain schedule integrity.;A15;Client-Driven Influences;25
Errors, omissions, or inaccuracies in design documents or technical specifications caused by tight deadlines, complexity, or insufficient coordination, necessitating corrections during construction.;C033;Enforce rigorous and early design review processes, implement clash detection and constructability analysis, and finalize project scope/design prior to construction to reduce mid-project changes and errors.;A09;Design;25
Frequent or late design changes introduced during construction, often due to incomplete or unclear initial designs, inadequate review, or client-driven modifications, resulting in repeated work.;C042;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Design;26
Organizational culture or processes that inhibit open discussion, timely detection, and learning from errors, often due to fear of blame, thereby prolonging or exacerbating problems.;C079;Adopt a structured error management culture focused on psychological safety, transparency, and collective learning to proactively manage errors rather than purely preventing them.;A01;Communication;26
Errors arising from ineffective or inadequate design processes, including poor communication, superficial reviews, insufficient quality management, fragmented teams, and resource constraints, leading to flawed or inconsistent designs.;C031;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Design;26
Absence of robust, real-time systems to capture, store, and analyze data on errors and rework events.;C005;Implement formal, robust communication protocols and enhance information management systems to ensure accurate and timely dissemination of critical project information.;A18;Documentation & Information Management;26
Alterations in design spec, scope, and construction method aimed at improving quality or constructability; these include changes initiated by clients, designers, or contractors.;C008;Engage construction professionals and contractors early during the design stage to incorporate their insights, enhance constructability, and clarify client requirements, thereby reducing later-stage rework.;A12;Design;27
Errors, omissions, or inaccuracies in design documents or technical specifications caused by tight deadlines, complexity, or insufficient coordination, necessitating corrections during construction.;C033;Enforce rigorous and early design review processes, implement clash detection and constructability analysis, and finalize project scope/design prior to construction to reduce mid-project changes and errors.;A09;Design;27
Poor management or deficient control over project documentation resulting in misinterpretations, omissions, and errors.;C085;Improve documentation preparation and implement robust document auditing and control systems to ensure document accuracy and consistency throughout the project lifecycle.;A19;Documentation & Information Management;27
Inadequate technical expertise, insufficient training, or lack of practical knowledge among project personnel, including designers and technical staff, leading to errors, omissions, and execution failures.;C049;Enforce stricter professional qualification standards and recruit skilled personnel while providing continuous training and professional development to maintain high-quality execution standards.;A11;Human Resources;27
Ineffective communication and coordination among various stakeholders or between different disciplines (such as design teams, contractors, and operators), resulting in design changes, conflicts, misunderstandings, and ultimately rework.;C052;Implement formal, robust communication protocols and enhance information management systems to ensure accurate and timely dissemination of critical project information.;A18;Communication;27
Inadequate or ineffective quality management systems and procedures, including insufficient implementation, monitoring, and control measures, leading to recurring defects and rework.;C047;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Management and Supervision;27
"Rushed or incomplete design work due to unrealistic schedules and fixed time allocations (""time boxing"") regardless of task completeness, causing omissions and subsequent rework.";C097;Adopt realistic scheduling practices, ensure sufficient allocation of time and resources, and avoid overly compressed timelines to enhance quality and reduce schedule-driven errors.;A03;Time & Planning;27
Failure to comply with required material standards during the design phase.;C036;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Material Resources;27
