Charity_Legal_Name;Adress
The Trustee For Hussey Burgh Macartney Gift;209 Flinders Lane   Melbourne VIC
Avoca RSL Sub-Branch Welfare Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Holy Trinity Oakleigh - Choir Fund;209 Flinders Lane   Melbourne VIC
Mukti Australia Inc;9653 Mountain Highway Bayswater  Melbourne VIC
Stella Prize Inc;U 416 37 Swanston St   Melbourne Victoria
The Trustee For Victorian Community Foundation-The George Perry Fund;Lvl 2, 575 Bourke St   Melbourne Victoria
Capital City Local Learning And Employment Network Inc.;Se 404 365 Little Collins St   Melbourne Victoria
1st Serbian RSL Sub-Branch Welfare Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
SALT & LIGHT MISSION INC.;277 Little Lonsdale St   Melbourne Victoria
SCANLON FOUNDATION RESEARCH INSTITUTE LTD;L 31 367 Collins St   Melbourne Victoria
The Trustee For Australian Unity Foundation;Level 15, 271 Spring Street   Melbourne VIC
PANDIS LIMITED;Suite 908, Level 9 530 Little Collins Street  Melbourne VIC
OPTIMISM GLOBAL LTD;L 6 608e St Kilda Rd   Melbourne Victoria
CAMBERWELL CITY RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
LOCH SPORT RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
OCEAN GROVE BARWON HEADS RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
RESERVOIR RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Port Fairy RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For Anglican Development Fund;209 Flinders Lane   Melbourne Victoria
Donkey Wheel Ltd;G 673 Bourke St   Melbourne Victoria
HIGHETT RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Mother's Day Classic Foundation;L 23 150 Lonsdale St   Melbourne Victoria
Jellis Craig Charitable Fund;Level One 500 Collins Street  Melbourne VIC
Kingsville St Pauls Walmsley;209 Flinders Lane   Melbourne VIC
Findex Community Fund;L 17 181 William St   Melbourne Victoria
The Scobie & Claire Mackinnon Trust;L 1 575 Bourke St   Melbourne Victoria
Farmconnect Ltd;L 3 24-28 Collins St   Melbourne Victoria
SYDNEY KALI TEMPLE WELFARE FOUNDATION LIMITED;L 2 333 Queen St   Melbourne Victoria
GRAFTON SERVICES AUSTRALIA LTD;Se 808 365 Little Collins St   Melbourne Victoria
The Trustee For Disability Housing Trust;Level 3, 350 Queen Street   Melbourne VIC
The Trustee For Winchelsea Rsl Sub Branch Welfare Patriotic Fund W440;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For Victoria Park Foundation;10 Olympic Bvd   Melbourne Victoria
Leo Cussen Institute;L 16 15 William St   Melbourne Victoria
Clayton RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Soundfair Australia Ltd;L 2 Se 1 517 St Kilda Rd   Melbourne Victoria
Australian Institute For Teaching And School Leadership Limited;L 8 440 Collins St   Melbourne Victoria
Christians And Jews (Victoria) Inc;Room 312, 619 St Kilda Road  Melbourne VIC
Ormond - Cornish Dorothy Janet & Jack - Bequest;209 Flinders Lane   Melbourne VIC
Melbourne Jewish Aid Society Inc;619 St Kilda Rd   Melbourne Victoria
Casey Regional Veterans Welfare Centre;ANZAC House 4 Collins Street   MELBOURNE VIC
MIT Group Foundation Ltd;Level 6 288 La Trobe Street  Melbourne VIC
TEDXMELBOURNE LTD.;L 2 287-293 Collins St   Melbourne Victoria
BARRISTERS' BENEVOLENT FOUNDATION OF VICTORIA LTD;Level 5 205 William Street  Melbourne VIC
See Yup Society Inc.;126 Little Bourke St   Melbourne Victoria
The Trustee For Michael Fitzgerald Bequest St Johns Church;209 Flinders Lane   Melbourne VIC
Education Services Australia Limited;440 Collins St   Melbourne Victoria
Nossal Institute Limited;L 5 333 Exhibition St   Melbourne Victoria
Geoffrey Gardiner Dairy Foundation Limited;Suite 5, Level 12 470 Collins Street  Melbourne VIC
PIANGIL RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Gibson Richard Bequest;209 Flinders Lane   Melbourne VIC
Writers Victoria;176 Little Lonsdale St   Melbourne Victoria
Northcote RSL Sub-branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
The Sunflower Foundation (Australia) Inc.;247-251 Flinders Lane   Melbourne Victoria
MERBEIN RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Pacific Assist Ltd;Level 4 420 Collins Street  Melbourne VIC
Australian Council of Learned Academies;L 6 436 St Kilda Rd   Melbourne Victoria
GLEN EIRA MEN'S SHED LTD;Se 211 430 Little Collins St   Melbourne Victoria
CRC 2 (ASSEMBLE X HCA) LTD;L 3 350 Queen St   Melbourne Victoria
The Trustee For The Gill Family Foundation;L 6 451 Little Bourke St   Melbourne Victoria
MURCHISON RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Australian Shakespeare Company;Level 3 188 Collins Street  Melbourne VIC
Australian Institute Of Superannuation Trustees;L 23 150 Lonsdale St   Melbourne Victoria
Therapeutic Innovation Australia Limited;330 Collins St   Melbourne Victoria
The Trustee For Danuta Rogowski Estate;Level 4 379 Collins Street  MELBOURNE VIC
International Women's Development Agency;250 Queen St   Melbourne Victoria
The Trustee For Vautin Hilary Andrews Bequest;209 Flinders Lane   Melbourne VIC
The Trustee for TLC Healthcare Foundation;L 10 468 St Kilda Rd   Melbourne Victoria
Stringer Amy Bequest;209 Flinders Lane   Melbourne VIC
The Trustee For Port Phillip Housing Trust;L 3 492 St Kilda Rd   Melbourne Victoria
The Trustee For Scanlon Foundation;L 31 367 Collins St   Melbourne Victoria
Uniting AgeWell Limited;130 Little Collins St   Melbourne Victoria
The Trustee For The Milton John Cornish Bursary Fund;209 Flinders Lane   Melbourne VIC
The Trustee For The Defence Bank Foundation;L 5 Se 1 31 Queen St   Melbourne Victoria
Al-Anon Family Groups (Australia) Pty. Ltd.;L 7 Se 4 43-51 Queen St   Melbourne Victoria
Victorian Women's Trust Limited;L 9 313 La Trobe St   Melbourne Victoria
South East Regional Touring Opera Company Limited;4 Bank Pl   Melbourne Victoria
The Trustee For The A & E Finkel Foundation Trust;Suite 1 Level 3 521 Toorak Road  Melbourne VIC
Glory City Church Of Melbourne Inc.;601 Elizabeth St   Melbourne Victoria
IVANHOE RSL SUB BRANCH WELFARE PATRIOTIC FUND W208;ANZAC House 4 Collins Street   MELBOURNE VIC
The William Angliss (Victoria) Charitable Fund;Suite 209 156 Collins St  Melbourne VIC
The Mac.Rob Foundation Limited;350-370 Kings Way   Melbourne VIC
M RIEWOLDT HOLDINGS LIMITED;Suite 1, Level 13 Collins 60 Collins Street Melbourne VIC
NEWPORT RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Austem Foundation Ltd;L 4 167 Flinders Lane   Melbourne Victoria
WAY FORWARD DEBT SOLUTIONS LIMITED;L 8 350 Collins St   Melbourne Victoria
The Numbat Fund;Level 15, 271 Spring Street   Melbourne VIC
Sustainable Living Foundation Inc;L 3 225 Bourke St   Melbourne Victoria
Melbourne Welsh Church;320 Latrobe Street   MELBOURNE VIC
Cancer Trials Australia;L 10 305 Grattan St   Melbourne Victoria
Housing Choices South Australia Limited;Level 3, 350 Queen Street   Melbourne VIC
Housing Choices Tasmania Limited;Level 3, 350 Queen Street   Melbourne VIC
THE TRUSTEE FOR THE NOEL AND CARMEL O'BRIEN FAMILY FOUNDATION;Se 511 1 Queens Rd   Melbourne Victoria
Creswick Alice I H Estate;209 Flinders Lane   Melbourne VIC
SALE RSL & COMMUNITY RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Prader-Willi Research Foundation Australia Limited;L 15 461 Bourke St   Melbourne Victoria
Live & Learn International-Australia Ltd;247-251 Flinders Lane   Melbourne Victoria
Specialisterne Centre Australia Limited;C- Level 17 31 Queen Street  Melbourne Vic
Healthy Australia Ltd;Se 309 530 Little Collins St   Melbourne Victoria
The Equality Project Ltd;L 12 460 Lonsdale St   Melbourne Victoria
Mutual Trust Foundation;L 32 360 Collins St   Melbourne Victoria
NSW Community Foundationpinter Trust;Lvl 2, 575 Bourke St   Melbourne Victoria
North Balwyn Interchurch Council;U 1208 12 Queens Rd   Melbourne Victoria
The Trustee For The Walter Mangold Trust Fund;L 2 111 Collins St   Melbourne Victoria
Greenfleet Australia;4517 Flinders Lane   Melbourne VIC
Melbourne St Paul - Perpetual;209 Flinders Lane   Melbourne VIC
Elkington E J Memorial Fund;209 Flinders Lane   Melbourne VIC
Emerge Australia Incorporated;247-251 Flinders Lane   Melbourne Victoria
LANEWAY LEARNING LTD.;37 Swanston St   Melbourne Victoria
Seedpod Australia Inc.;U 14 562 Little Bourke St   Melbourne Victoria
THE WILLIAM AND GEORGENA BRADSHAW CHARITABLE TRUST;L 8 419 Collins St   Melbourne Victoria
The Unconditional Love Foundation;Suite 6-03 Level 6, 360 Collins St  Melbourne VIC
Victorian Council Of Social Service;L 8 128 Exhibition St   Melbourne Victoria
MSBase Foundation Limited;L 6 99 Commercial Rd   Melbourne Victoria
Wesley College Foundation Ltd Education Fund;Wesley College   Melbourne Victoria
The Trustee for the Worth Foundation;L 10 530 Collins St   Melbourne Victoria
Housing Choices Australia Limited;Level 3, 350 Queen Street   Melbourne VIC
DANDENONG RANGES RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Equity Trustees Charitable Foundation;GPO 2307   Melbourne VIC
Peter O'Callaghan QC Gallery Ltd;Level 5, Owen Dixon Chambers East 205 William Street  Melbourne VIC
FCCV Education And Training Ltd.;L 6 608w St Kilda Rd   Melbourne Victoria
Speckle Financial Health Limited;673 Bourke St   Melbourne Victoria
45 Downstairs Inc.;B 45 Flinders Lane   Melbourne Victoria
Regional Arts Victoria;L 3 370 Little Bourke St   Melbourne Victoria
The Trustee For Florence & Melville Hughes Trust;L 10 530 Collins St   Melbourne Victoria
St Paul's Cathedral Melbourne;209 Flinders Lane   Melbourne Victoria
The Trustee For Moorhouse Lectureship Trust Fund;209 Flinders Lane   Melbourne VIC
Melbourne St Paul Organ Trust;209 Flinders Lane   Melbourne VIC
The Trustee For The Hoffman Foundation;co Foley's List, 205 William Street AUSDOC DX 92  MELBOURNE VIC
The Trustee For Rhodes Trust In Australia;L 19 567 Collins St   Melbourne Victoria
The Federation Of Associations Of Spanish Speaking Senior Citizens In Victoria Inc;247-251 Flinders Lane   Melbourne Victoria
PORTLAND RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee for Mary Jane Lewis Scholarship Foundation;GPO 2307   Melbourne VIC
THE RETURNED AND SERVICES LEAGUE OF AUSTRALIA VICTORIAN BRANCH - DAYLESFORD WELFARE PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Centre For Excellence In Child And Family Welfare Inc.;Level 5, 50 Market Street   Melbourne VIC
COHUNA LEITCHVILLE RSL SUB-BRANCH  PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Al-Anon Family Groups Victorian Southern Area Inc;Suite 5, Lvl 7 51 Queen Street  Melbourne VIC
The Serp Hills Foundation;U 145 1-29 Albert Rd   Melbourne Victoria
The Trustee For G F Matthews Estate;L 28 140 William St   Melbourne Victoria
Lynx Charitable Foundation;L 20 181 William St   Melbourne Victoria
Australian Patients Association Limited;Se 908 530 Little Collins St   Melbourne Victoria
Ringwood Rsl Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Housing Choices NSW Limited;Level 3, 350 Queen Street   Melbourne VIC
Dylan Alcott Foundation Limited;L 5 570 St Kilda Rd   Melbourne Victoria
Colostomy Association Of Victoria Inc.;L 2 Se 221 98-100 Elizabeth St   Melbourne Victoria
EBONY ATSI INSTITUTE LTD;Se 523 1 Queens Rd   Melbourne Victoria
Elmore RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For Herbert Paul Blaich Bequest;209 Flinders Lane   Melbourne VIC
UPPER BEACONSFIELD RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For Trude Weiss Foundation;L 7 612-616 St Kilda Rd   Melbourne Victoria
Retina Australia;247-251 Flinders Lane   Melbourne Victoria
The Foundation For Young Australians;21-27 Somerset Pl   Melbourne Victoria
Crazy Socks 4 Docs Trust Foundation;L 10 530 Collins St   Melbourne Victoria
Headspace National Youth Mental Health Foundation Ltd;L 2 485 La Trobe St   Melbourne Victoria
Homes For Homes Limited;B 227 Collins St   Melbourne Victoria
The Trustee For The Calvert-Jones Foundation;L 32 360 Collins St   Melbourne Victoria
The Trustee For Mary Attenborough Trust;209 Flinders Lane   Melbourne VIC
The Trustee For Langford Clements Estate;209 Flinders Lane   Melbourne VIC
The Trustee For Victorian Community Foundation Including Ross House;Lvl 2, 575 Bourke St   Melbourne Victoria
St Andrews Foundation;L 20 181 William St   Melbourne Victoria
SCOTS' CHURCH BOARD OF MANAGEMENT LIMITED;156 Collins St   Melbourne Victoria
Trustees Of The Servants Of The Blessed Sacrament;326 Lonsdale St   Melbourne Victoria
The Trustee For Telstra Foundation Community Development Fund;L 41 242 Exhibition St   Melbourne Victoria
THE TRUSTEE FOR THE SYNMAN FAMILY CHARITABLE TRUST;L 3 140 William St   Melbourne Victoria
Australian Music Examinations Board Limited;L 8 21 Victoria St   Melbourne Victoria
MARYSVILLE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Teach For Australia;103 Flinders Lane   Melbourne Victoria
Lv Foundation;L 11 456 Lonsdale St   Melbourne Victoria
BLUE JAY FOUNDATION PTY LTD;c- Gottliebsens Pty Ltd Level 1, 1 Queens Road  Melbourne VIC
International Jewish Relief Limited;L 9 Se 1s 161 Collins St   Melbourne Victoria
The Sports Excellence Scholarship Fund;Level 7 607 St Kilda Rd Vic  Melbourne Victoria
The Trustee For The St Lukes North Brighton Trust;209 Flinders Lane   Melbourne VIC
The Trustee For Queensland Community Foundation;Lvl 2, 575 Bourke St   Melbourne Victoria
Multiple Birth Volunteer Support Foundation Inc;U 2905 265 Exhibition St   Melbourne Victoria
Minyip RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Rushworth RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Sexual Assault Services Victoria Inc;5-7 Albert Coates Lane   Melbourne Victoria
Dimboola RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Nagambie RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Australian Federation of International Students Incorporated;247-251 Flinders Lane   Melbourne Victoria
FUNGIMAP INC.;Dallas Brooks Dr & Birdwood Avenue   Melbourne VIC
NORTH BALWYN RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Bethlehem Griffiths Research Foundation;Piper Alderman Level 23, 459 Collins Street  Melbourne VIC
Victorian Community Foundation Bird Family Charitable Trust;Lvl 2, 575 Bourke St   Melbourne Victoria
Rewire Ltd;L 27 101 Collins St   Melbourne Victoria
MARYBOROUGH RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For The Vera Moore Foundation;L 11 Se 2 379 Collins St   Melbourne Victoria
The Trustee For Qcf Katherine Hannay Estate;Lvl 2, 575 Bourke St   Melbourne Victoria
Rescare Inc;U 3 360 St Kilda Rd   Melbourne Victoria
The GS Education Trust;L 21 333 Collins St   Melbourne Victoria
Melbourne Dai Loong Association Inc;22 Cohen Place   Melbourne VIC
WATSONIA RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Council Of Single Mothers And Their Children Inc;L 1 210 Lonsdale St   Melbourne Victoria
Provincial Ministry Assistance Fund;209 Flinders Lane   Melbourne VIC
Crime Victims Support Association Incorporated;27 Loretto Avenue  Melbourne VIC
Phunktional Limited;L 8 225 Bourke St   Melbourne Victoria
Australia and New Zealand Recycling Platform Limited;L 5 455 Bourke St   Melbourne Victoria
Melbourne Writers' Festival Inc;1176 Little Lonsdale Street   Melbourne VIC
The Sesgo Foundation;Level 15 271 Spring Street  Melbourne VIC
The Trustee For M P Hedderwick Bequest;209 Flinders Lane   Melbourne VIC
Orangutan Alliance Ltd.;L 9 440 Collins St   Melbourne Victoria
History Council Of Victoria Inc;239 A'beckett St   Melbourne Victoria
Federation Of Community Legal Centres Vic Inc;L 3 225 Bourke St   Melbourne Victoria
National Air Museum Limited;L 10 530 Collins St   Melbourne Victoria
Immunisation Coalition;Se 1222 1 Queens Rd   Melbourne Victoria
Spina Bifida Foundation Of Victoria Inc;247-251 Flinders Lane   Melbourne Victoria
The Trustee For The Ron And Margaret Dobell Foundation;L 7 24-28 Collins St   Melbourne Victoria
Violet Town RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Australian Primary Health Care Nurses Association Limited;L 17 350 Queen St   Melbourne Victoria
Endless Horizons Inc;L 1 390 St Kilda Rd   Melbourne Victoria
Leadership Plus Inc;L 4 4-6 Collins St   Melbourne Victoria
Roach Foundation Ltd;L 5 484 St Kilda Rd   Melbourne Victoria
Anaphylaxis Network Australia Ltd;Se 18 37-39 Albert Rd   Melbourne Victoria
The Trustee For The Landman Foundation;L 2 570 St Kilda Rd   Melbourne Victoria
Deborah Cass Prize Ltd;176 Little Lonsdale St   Melbourne Victoria
PSYCHE FOUNDATION LIMITED;Unit 6, 100 Flinders Street   Melbourne VIC
The Trustee For Hanlon Foundation;Suite 104 370 St Kilda Road  Melbourne VIC
The Keith and Elisabeth Murdoch Trust;L 10 530 Collins St   Melbourne Victoria
Rural Workforce Agency Victoria Limited;Level 6, Tower 4, WTC,18-38 Siddeley Street Victoria  Melbourne VIC
Florence & Melville Hughes (Custodian) Pty Ltd;L 10 530 Collins St   Melbourne Victoria
Human Rights Law Centre Ltd;L 17 461 Bourke St   Melbourne Victoria
Interchange Incorporated;L 7 225 Bourke St   Melbourne Victoria
The Trustee For Mukti Australia Overseas Aid Fund;9653 Mountain Highway Bayswater  Melbourne VIC
The Trustee For The Flynn Memorial Charitable Trust;McKean Park Level 11 575 Bourke Street  Melbourne VIC
BENDIGO DISTRICT RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Melbourne Space Program Limited;333 Exhibition St   Melbourne Victoria
Uniting Housing (Australia) Limited;Level 4, 130 Lonsdale Street   Melbourne Victoria
Hopetoun RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Melbourne Anglican Foundation Trust;209 Flinders Lane   Melbourne Victoria
The Trustee For The Tom And Minnie Harbinson Trust;209 Flinders Lane   Melbourne VIC
International Detention Coalition;The Hub, Level 2, 696 Bourke St  Melbourne Victoria
CIPS AUSTRALIA AND NEW ZEALAND PTY LTD;Level 10, 440 Collins Street   Melbourne Victoria
Melbourne East Trinity General;209 Flinders Lane   Melbourne VIC
Stan Willis Trust;L 6 Se 2 432 St Kilda Rd   Melbourne Victoria
Indonesian Family Church Melbourne;300 Flinders St   Melbourne Victoria
Kindred Spirits Foundation;L 12 440 Collins St   Melbourne Victoria
Tramway East Melbourne RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For The Geoff And Helen Handbury Foundation;L 10 530 Collins St   Melbourne Victoria
Faith Communities Council of Victoria Inc;Level 6 West Tower, 608 St Kilda Road   Melbourne VIC
The Trustee For Elsie Morres Bequest;209 Flinders Lane   Melbourne VIC
The Trustee for Wartook Foundation;L 15 390 St Kilda Rd   Melbourne Victoria
Orbost RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
OPTF LTD;L 1 452 Flinders St   Melbourne Victoria
GIRLS' UNIFORM AGENDA LIMITED;U 210 434 St Kilda Rd   Melbourne Victoria
The East West Foundation of Australia Inc.;Ross House, Level 2, Room 13b 247 Flinders Lane  Melbourne VIC
THE RETURNED AND SERVICESLEAGUE OF AUSTRALIAVICTORIAN BRANCH - Dunkeld Building Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
National Exhibitions Touring Support Victoria Inc Nets Victoria;c- The Ian Potter Centre: NGV Australia Federation Square: Cnr Swanston St and Flinders St  Melbourne VIC
Action For More Independence & Dignity In Accommodation;247-251 Flinders Lane   Melbourne Victoria
Victorian Clean Technology Fund Pty Ltd;L 27 101 Collins St   Melbourne Victoria
The Trustee For Richmond Rsl Sub Branch Welfare Patriotic Fund W347;ANZAC House 4 Collins Street   MELBOURNE VIC
COLERAINE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Women's Health Victoria Inc;L 8 255 Bourke St   Melbourne Victoria
Lara RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Diocesan Schools Commission Building Fund;209 Flinders Lane   Melbourne Victoria
Victorian Community Foundationa C Albert Edward Mckay Trust;Lvl 2, 575 Bourke St   Melbourne Victoria
VOIS MAGAZINE LIMITED;55 Collins St   Melbourne Victoria
Wonthaggi RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
World Literacy Foundation;Se 15 20 Commercial Rd   Melbourne 
The Trustee For The Meydan Family Charitable Trust;Level 40 120 Collins Street  Melbourne VIC
Royal Australian & New Zealand College Of Obstetricians & Gynaecologists;1 Bowen Crescent   Melbourne VICTORIA
Hero International Ltd;Suite 164 585 Little Collins Steet   Melbourne VIC
The Trustee For The Archbishop Hl Carke Trust Fund;209 Flinders Lane   Melbourne VIC
WANGARATTA RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For The Wood Foundation;L 10 530 Collins St   Melbourne Victoria
The Trustee For Jeannie & Ernest Poolman Fund;209 Flinders Lane   Melbourne VIC
Camberwell St Mark Opp Shop Mission Fund;209 Flinders Lane   Melbourne VIC
Vietnam Veterans Association Of Australia Victorian Branch;VVAA Victorian Branch ANZAC House L34 1 Collins Street  Melbourne VIC
The Trustee For The Carmichael A N Memorial Fund;Level 2 575 Bourke Street  Melbourne VIC
People and Parks Environment Trust;L 10 535 Bourke St   Melbourne Victoria
Worthy Cause;U 830 539 St Kilda Rd   Melbourne Victoria
Edward Wilson Estate;L 10 530 Collins St   Melbourne Victoria
CHARLES BONNET SYNDROME FOUNDATION (AUSTRALIA);247-251 Flinders Lane   Melbourne Victoria
