Cenário_da_violação;Frequência;Início_das_violações;Grupo_vulnerável;Relação_vítima_suspeito;Sexo_da_vítima;Faixa_etária_da_vítima;Deficiência_da_vítima;Município_da_vítima;Raça_Cor_da_vítima;Sexo_do_suspeito;Faixa_etária_do_suspeito;Raça_Cor_do_suspeito;violacao
CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;SEMANALMENTE;HÁ MAIS DE CINCO ANOS;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;ESPOSA(O);FEMININO;50 A 54 ANOS;FÍSICA/MOTORA;3304904 | SÃO GONÇALO;PRETA;MASCULINO;65 A 69 ANOS;PRETA;INTEGRIDADE>FÍSICA>MAUS TRATOS
CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;SEMANALMENTE;HÁ MAIS DE CINCO ANOS;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;ESPOSA(O);FEMININO;50 A 54 ANOS;NÃO;3304904 | SÃO GONÇALO;PRETA;MASCULINO;65 A 69 ANOS;PRETA;INTEGRIDADE>PSÍQUICA>AMEAÇA ou COAÇÃO
CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;SEMANALMENTE;HÁ MAIS DE CINCO ANOS;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;ESPOSA(O);FEMININO;50 A 54 ANOS;NÃO;3304904 | SÃO GONÇALO;PRETA;MASCULINO;65 A 69 ANOS;PRETA;INTEGRIDADE>PSÍQUICA>TORTURA PSÍQUICA
CASA DO SUSPEITO;DIARIAMENTE;HÁ MAIS DE CINCO ANOS;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3302700 | MARICÁ;BRANCA;FEMININO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PATRIMONIAL>INDIVIDUAL
CASA DO SUSPEITO;DIARIAMENTE;HÁ MAIS DE CINCO ANOS;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3302700 | MARICÁ;BRANCA;FEMININO;40 A 44 ANOS;BRANCA;INTEGRIDADE>FÍSICA>MAUS TRATOS
CASA DO SUSPEITO;DIARIAMENTE;HÁ MAIS DE CINCO ANOS;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3302700 | MARICÁ;BRANCA;FEMININO;40 A 44 ANOS;BRANCA;INTEGRIDADE>NEGLIGÊNCIA
CASA DO SUSPEITO;DIARIAMENTE;HÁ MAIS DE CINCO ANOS;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3302700 | MARICÁ;BRANCA;FEMININO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>TORTURA PSÍQUICA
CASA DO SUSPEITO;DIARIAMENTE;HÁ MAIS DE CINCO ANOS;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3302700 | MARICÁ;BRANCA;FEMININO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>CONSTRANGIMENTO
CASA DO SUSPEITO;DIARIAMENTE;HÁ MAIS DE CINCO ANOS;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3302700 | MARICÁ;BRANCA;FEMININO;40 A 44 ANOS;BRANCA;INTEGRIDADE>FÍSICA>EXPOSIÇÃO DE RISCO À SAÚDE
CASA DA VÍTIMA;DIARIAMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;70 A 74 ANOS;NÃO;3303302 | NITERÓI;PARDA;MASCULINO;40 A 44 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>AMEAÇA ou COAÇÃO
CASA DA VÍTIMA;DIARIAMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;70 A 74 ANOS;NÃO;3303302 | NITERÓI;PARDA;MASCULINO;40 A 44 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>TORTURA PSÍQUICA
CASA DA VÍTIMA;DIARIAMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;70 A 74 ANOS;NÃO;3303302 | NITERÓI;PARDA;MASCULINO;40 A 44 ANOS;PARDA;INTEGRIDADE>FÍSICA>EXPOSIÇÃO DE RISCO À SAÚDE
CASA DA VÍTIMA;DIARIAMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;70 A 74 ANOS;NÃO;3303302 | NITERÓI;PARDA;MASCULINO;40 A 44 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>INJÚRIA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;PARDA;FEMININO;20 A 24 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>EXPOSIÇÃO
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;PARDA;FEMININO;20 A 24 ANOS;BRANCA;INTEGRIDADE>FÍSICA>MAUS TRATOS
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;PARDA;FEMININO;20 A 24 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>TORTURA PSÍQUICA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;PARDA;FEMININO;20 A 24 ANOS;BRANCA;INTEGRIDADE>PATRIMONIAL>INDIVIDUAL
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;PARDA;FEMININO;20 A 24 ANOS;BRANCA;LIBERDADE>DIREITOS INDIVIDUAIS>AUTONOMIA DE VONTADE
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;PARDA;FEMININO;20 A 24 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>CONSTRANGIMENTO
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;AUDITIVA/SURDEZ;3303500 | NOVA IGUAÇU;PARDA;FEMININO;20 A 24 ANOS;BRANCA;INTEGRIDADE>FÍSICA>EXPOSIÇÃO DE RISCO À SAÚDE
CASA DO SUSPEITO;OCASIONALMENTE;HÁ MAIS DE SEIS MESES;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;FEMININO;25 A 29 ANOS;BRANCA;LIBERDADE>DIREITOS INDIVIDUAIS>AUTONOMIA DE VONTADE
CASA DO SUSPEITO;OCASIONALMENTE;HÁ MAIS DE SEIS MESES;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;FEMININO;25 A 29 ANOS;BRANCA;INTEGRIDADE>NEGLIGÊNCIA
CASA DO SUSPEITO;OCASIONALMENTE;HÁ MAIS DE SEIS MESES;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;FEMININO;25 A 29 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>INJÚRIA
CASA DO SUSPEITO;OCASIONALMENTE;HÁ MAIS DE SEIS MESES;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;FEMININO;25 A 29 ANOS;BRANCA;INTEGRIDADE>PATRIMONIAL>INDIVIDUAL
CASA DO SUSPEITO;OCASIONALMENTE;HÁ MAIS DE SEIS MESES;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;FEMININO;25 A 29 ANOS;BRANCA;LIBERDADE>DIREITOS INDIVIDUAIS>LIBERDADE DE IR VIR PERMANECER
CASA DO SUSPEITO;OCASIONALMENTE;HÁ MAIS DE SEIS MESES;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;FEMININO;25 A 29 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>CONSTRANGIMENTO
CASA DO SUSPEITO;OCASIONALMENTE;HÁ MAIS DE SEIS MESES;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;FEMININO;25 A 29 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>DIFAMAÇÃO
CASA DO SUSPEITO;OCASIONALMENTE;HÁ MAIS DE SEIS MESES;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;FEMININO;25 A 29 ANOS;BRANCA;INTEGRIDADE>FÍSICA>MAUS TRATOS
CASA DO SUSPEITO;OCASIONALMENTE;HÁ MAIS DE SEIS MESES;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;FEMININO;25 A 29 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>TORTURA PSÍQUICA
CASA DO SUSPEITO;OCASIONALMENTE;HÁ MAIS DE SEIS MESES;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;FEMININO;25 A 29 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>INSUBSISTÊNCIA AFETIVA
CASA DO SUSPEITO;OCASIONALMENTE;HÁ MAIS DE SEIS MESES;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;FEMININO;25 A 29 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>AMEAÇA ou COAÇÃO
CASA DO SUSPEITO;OCASIONALMENTE;HÁ MAIS DE SEIS MESES;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;FEMININO;25 A 29 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>CALÚNIA
CASA DO SUSPEITO;OCASIONALMENTE;HÁ MAIS DE SEIS MESES;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;FEMININO;25 A 29 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>EXPOSIÇÃO
CASA DO SUSPEITO;OCASIONALMENTE;HÁ MAIS DE SEIS MESES;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;FEMININO;25 A 29 ANOS;BRANCA;INTEGRIDADE>FÍSICA>ABANDONO
CASA DO SUSPEITO;OCASIONALMENTE;HÁ MAIS DE SEIS MESES;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);MASCULINO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;FEMININO;25 A 29 ANOS;BRANCA;INTEGRIDADE>FÍSICA>INSUBSISTÊNCIA MATERIAL
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;65 A 69 ANOS;NÃO;3301900 | ITABORAÍ;PARDA;MASCULINO;45 A 49 ANOS;PARDA;INTEGRIDADE>FÍSICA>EXPOSIÇÃO DE RISCO À SAÚDE
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;65 A 69 ANOS;NÃO;3301900 | ITABORAÍ;PARDA;MASCULINO;45 A 49 ANOS;PARDA;INTEGRIDADE>FÍSICA>ABANDONO
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;65 A 69 ANOS;NÃO;3301900 | ITABORAÍ;PARDA;MASCULINO;45 A 49 ANOS;PARDA;INTEGRIDADE>NEGLIGÊNCIA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;65 A 69 ANOS;NÃO;3301900 | ITABORAÍ;PARDA;MASCULINO;45 A 49 ANOS;PARDA;INTEGRIDADE>FÍSICA>EXPOSIÇÃO DE RISCO À SAÚDE
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;65 A 69 ANOS;NÃO;3301900 | ITABORAÍ;PARDA;MASCULINO;45 A 49 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>INSUBSISTÊNCIA AFETIVA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;65 A 69 ANOS;NÃO;3301900 | ITABORAÍ;PARDA;FEMININO;40 A 44 ANOS;PARDA;INTEGRIDADE>FÍSICA>EXPOSIÇÃO DE RISCO À SAÚDE
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;65 A 69 ANOS;NÃO;3301900 | ITABORAÍ;PARDA;MASCULINO;45 A 49 ANOS;PARDA;INTEGRIDADE>NEGLIGÊNCIA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;65 A 69 ANOS;NÃO;3301900 | ITABORAÍ;PARDA;MASCULINO;45 A 49 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>TORTURA PSÍQUICA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;65 A 69 ANOS;NÃO;3301900 | ITABORAÍ;PARDA;MASCULINO;45 A 49 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>INSUBSISTÊNCIA AFETIVA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;65 A 69 ANOS;NÃO;3301900 | ITABORAÍ;PARDA;MASCULINO;45 A 49 ANOS;PARDA;INTEGRIDADE>FÍSICA>ABANDONO
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;65 A 69 ANOS;NÃO;3301900 | ITABORAÍ;PARDA;FEMININO;40 A 44 ANOS;PARDA;INTEGRIDADE>NEGLIGÊNCIA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;65 A 69 ANOS;NÃO;3301900 | ITABORAÍ;PARDA;MASCULINO;45 A 49 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>TORTURA PSÍQUICA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;65 A 69 ANOS;NÃO;3301900 | ITABORAÍ;PARDA;FEMININO;40 A 44 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>TORTURA PSÍQUICA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;65 A 69 ANOS;NÃO;3301900 | ITABORAÍ;PARDA;FEMININO;40 A 44 ANOS;PARDA;INTEGRIDADE>FÍSICA>ABANDONO
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;65 A 69 ANOS;NÃO;3301900 | ITABORAÍ;PARDA;FEMININO;40 A 44 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>INSUBSISTÊNCIA AFETIVA
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+;AMIGO(A);FEMININO;55 A 59 ANOS;NÃO;3304557 | RIO DE JANEIRO;PARDA;MASCULINO;60 A 64 ANOS;BRANCA;INTEGRIDADE>FÍSICA>AGRESSÃO ou VIAS DE FATO
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+;AMIGO(A);FEMININO;55 A 59 ANOS;NÃO;3304557 | RIO DE JANEIRO;PARDA;MASCULINO;60 A 64 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>AMEAÇA ou COAÇÃO
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+;AMIGO(A);FEMININO;55 A 59 ANOS;NÃO;3304557 | RIO DE JANEIRO;PARDA;MASCULINO;60 A 64 ANOS;BRANCA;LIBERDADE>SEXUAL>IMPORTUNAÇÃO SEXUAL
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+;AMIGO(A);FEMININO;55 A 59 ANOS;NÃO;3304557 | RIO DE JANEIRO;PARDA;MASCULINO;60 A 64 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>CONSTRANGIMENTO
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+;VIZINHO(A);FEMININO;55 A 59 ANOS;NÃO;3304557 | RIO DE JANEIRO;PARDA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>AMEAÇA ou COAÇÃO
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+;VIZINHO(A);FEMININO;55 A 59 ANOS;NÃO;3304557 | RIO DE JANEIRO;PARDA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>CONSTRANGIMENTO
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+;VIZINHO(A);FEMININO;55 A 59 ANOS;NÃO;3304557 | RIO DE JANEIRO;PARDA;MASCULINO;40 A 44 ANOS;BRANCA;LIBERDADE>SEXUAL>IMPORTUNAÇÃO SEXUAL
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+;VIZINHO(A);FEMININO;55 A 59 ANOS;NÃO;3304557 | RIO DE JANEIRO;PARDA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PATRIMONIAL>INDIVIDUAL
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>EXPOSIÇÃO
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>NEGLIGÊNCIA
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>CONSTRANGIMENTO
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>INSUBSISTÊNCIA AFETIVA
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>CONSTRANGIMENTO
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>TORTURA PSÍQUICA
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>NEGLIGÊNCIA
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;FILHO(A);FEMININO;70 A 74 ANOS;FÍSICA/MOTORA;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>FÍSICA>EXPOSIÇÃO DE RISCO À SAÚDE
