PsychTest1,PsychTest2,YrsEdu,IQ,HrsTrn,HrsWrk,ClientSat,SuperSat,ProjCompl
35,41,3,94,5,39,34,34,39
38,31,2,102,8,72,42,57,69
43,51,4,104,5,48,50,50,54
66,65,5,98,6,70,92,75,72
46,61,0,97,3,30,45,46,35
50,47,0,92,4,26,52,32,31
57,45,5,96,3,33,68,39,30
56,62,0,98,8,80,61,79,71
58,41,4,102,4,26,74,34,35
49,37,1,101,6,52,52,42,52
38,47,0,92,5,19,22,28,22
46,51,2,102,11,100,48,87,86
63,77,1,97,9,85,71,90,75
49,49,2,93,8,83,46,63,83
51,57,0,93,7,40,68,47,42
48,57,3,94,4,31,59,45,35
59,73,3,101,6,50,74,71,55
56,61,4,100,3,4,52,27,12
44,44,0,100,8,69,51,58,60
46,40,4,98,4,31,50,35,34
45,56,4,97,5,43,41,51,44
44,56,1,99,4,45,42,51,46
32,12,1,101,5,40,31,22,44
51,69,0,94,5,39,50,50,39
43,32,4,100,7,65,53,53,63
37,31,0,92,11,85,45,61,81
33,40,2,101,7,36,31,39,44
42,34,4,102,8,51,41,46,49
49,41,0,93,5,62,48,56,58
60,52,5,99,4,10,72,22,18
51,61,2,98,8,84,68,79,81
59,69,1,100,9,78,69,81,71
46,56,2,100,5,47,42,57,46
46,60,1,99,7,43,43,51,42
41,37,2,98,5,51,34,44,45
43,25,0,98,7,50,49,37,50
58,66,0,98,7,32,59,52,31
72,65,3,99,6,47,78,59,47
66,64,4,96,7,43,93,51,50
41,56,4,97,3,11,27,29,9
55,49,1,100,6,40,75,51,36
45,61,4,102,9,61,59,63,66
58,61,5,95,7,62,78,66,70
60,61,1,95,6,60,59,61,57
49,45,4,102,8,63,53,64,58
53,64,3,101,5,46,60,61,49
75,64,5,104,8,75,88,74,66
57,66,2,92,3,43,70,56,42
60,69,1,97,11,91,72,89,88
52,71,3,103,6,51,54,62,54
51,55,1,99,6,26,56,41,30
52,36,2,92,11,86,73,68,71
41,54,3,94,7,65,37,63,65
57,51,1,100,8,74,76,70,71
56,75,1,98,2,10,50,45,15
58,71,3,95,7,80,81,83,77
50,35,3,101,7,47,48,43,52
40,29,3,99,6,64,33,52,60
49,46,1,91,5,61,49,51,53
45,43,3,103,7,60,38,61,65
55,53,2,98,5,33,64,44,34
59,73,1,91,8,85,73,85,79
42,27,2,102,7,54,51,45,59
51,33,0,90,6,25,57,22,27
57,54,5,95,4,48,65,50,47
43,52,5,103,8,54,45,62,64
49,53,5,97,3,37,64,43,40
53,45,0,94,12,100,75,80,92
62,66,5,97,9,53,87,63,57
69,87,5,97,4,14,83,46,21
42,55,4,96,4,48,45,61,51
59,55,5,103,4,12,66,42,17
43,29,2,92,9,80,49,51,76
33,43,2,100,8,64,33,51,59
25,31,0,92,2,36,0,25,40
60,45,1,94,6,28,65,34,22
66,85,5,103,6,49,80,78,51
57,71,2,101,4,9,69,47,9
58,50,3,95,6,30,69,35,29
47,48,2,98,5,34,64,48,33
35,20,4,97,4,49,31,30,45
54,65,4,101,2,37,45,54,37
38,26,0,96,9,80,41,55,70
41,21,3,96,4,39,46,28,48
46,29,2,94,2,0,47,7,6
54,55,4,101,0,13,61,42,24
39,36,0,91,4,15,21,24,16
61,49,0,93,5,58,62,58,53
47,60,1,94,12,100,59,85,96
60,66,4,98,9,77,85,74,64
34,48,3,95,10,64,35,55,58
53,66,4,95,6,50,55,59,57
49,58,1,99,8,65,53,67,66
63,54,4,102,7,74,70,75,72
49,49,5,105,7,36,43,43,46
59,58,4,98,5,26,63,41,25
71,65,4,96,5,47,86,58,52
51,54,0,96,9,71,51,64,69
20,12,3,103,9,74,1,46,74
36,30,4,94,5,31,31,29,32
53,63,4,100,7,53,61,62,55
40,22,3,100,2,0,32,7,14
46,40,5,99,7,68,66,62,61
39,39,1,92,3,26,21,31,28
49,65,0,100,2,2,51,33,7
60,76,3,97,13,98,77,95,86
49,47,5,96,9,75,55,64,66
60,46,3,100,5,64,64,59,58
62,80,2,93,5,60,68,69,64
63,46,1,94,2,0,63,15,8
34,40,0,94,5,16,21,25,14
42,50,3,100,8,63,51,60,69
33,49,4,96,2,14,27,23,17
48,64,4,94,2,25,41,42,28
52,60,3,102,5,43,66,51,47
48,33,0,90,4,27,43,27,25
46,26,0,97,11,85,61,53,79
43,23,3,94,9,66,46,45,61
74,68,5,104,12,100,93,94,93
55,37,1,100,9,73,53,59,66
44,58,3,94,9,57,53,59,51
50,43,5,99,6,60,58,58,65
57,58,0,91,7,47,76,50,45
59,62,4,95,6,33,62,49,41
45,54,4,103,2,38,39,48,40
47,37,0,100,6,53,38,49,49
67,51,4,94,9,67,89,66,68
70,87,2,99,4,40,76,67,39
51,38,1,95,6,37,46,30,40
42,43,0,96,5,39,37,40,40
50,47,1,95,6,31,44,38,30
59,77,5,105,3,11,70,46,21
52,55,3,94,6,24,54,41,27
60,50,3,99,3,2,85,25,13
50,39,1,95,4,48,41,36,44
37,35,0,100,5,42,32,41,44
53,46,2,98,5,47,58,48,39
53,44,3,101,8,83,62,65,78
26,8,3,94,6,34,23,13,41
47,41,1,92,9,56,43,52,50
54,46,0,90,4,29,72,36,20
38,31,2,93,7,55,37,42,49
73,84,2,100,3,8,86,42,14
64,53,3,99,7,66,77,64,70
52,51,0,99,7,44,63,49,41
61,55,3,93,3,10,68,29,18
65,72,1,98,3,8,62,40,16
49,41,0,93,6,57,44,45,54
35,52,5,96,7,35,45,39,31
48,41,2,101,8,69,49,62,72
71,67,1,93,5,43,82,58,34
50,62,1,97,9,96,61,91,82
57,67,2,94,5,26,65,48,22
40,43,0,96,4,34,31,39,40
54,58,1,101,7,74,63,71,68
48,52,3,96,7,66,53,63,61
67,56,5,99,2,0,85,23,8
51,48,3,94,6,38,46,44,43
71,75,4,95,5,16,90,41,27
38,23,3,103,9,91,44,62,94
53,38,3,99,6,47,62,43,50
46,27,3,102,9,86,72,61,83
61,78,5,104,7,68,67,83,74
37,55,4,102,5,19,21,39,32
56,55,5,105,4,13,74,38,17
46,53,5,102,7,63,48,64,63
54,37,5,95,4,16,60,22,22
49,68,4,97,3,20,51,46,29
48,37,0,93,5,40,36,42,44
45,39,5,101,9,66,50,58,64
33,13,0,92,8,57,19,29,57
47,59,2,94,8,84,41,72,84
44,25,3,97,2,23,38,19,29
50,57,0,100,2,0,45,26,1
47,64,3,99,7,39,55,55,36
45,43,4,94,4,20,50,28,28
59,76,5,105,5,48,70,71,53
42,31,1,91,7,79,26,52,69
46,49,4,98,4,43,45,46,51
36,55,4,96,7,52,34,51,55
61,65,3,102,3,36,81,51,32
47,61,3,103,7,49,40,63,39
50,62,0,93,6,62,63,65,56
54,38,2,98,4,12,75,17,10
43,34,2,95,5,18,50,22,22
46,35,2,99,6,45,57,41,40
48,67,0,98,5,48,51,61,48
39,49,0,90,6,27,31,34,38
40,34,1,92,4,32,29,27,38
59,59,3,93,3,47,58,54,53
61,78,0,93,7,56,69,69,47
44,48,1,99,6,31,44,36,35
38,21,3,95,5,31,31,22,36
65,80,5,96,6,24,90,50,26
60,46,5,104,3,25,57,38,27
70,63,4,97,5,49,84,57,48
41,31,4,101,5,58,32,49,58
35,43,1,91,2,35,20,36,32
60,45,3,100,5,54,73,49,58
26,20,5,103,6,40,16,30,45
38,21,5,99,6,28,39,21,32
44,30,4,101,8,56,58,47,65
56,54,4,98,3,33,39,46,43
62,69,5,98,8,54,90,62,54
58,38,1,94,8,80,76,59,71
38,55,4,103,6,59,33,72,65
51,33,4,101,7,73,59,59,72
49,39,0,99,4,19,42,25,8
40,31,2,95,7,57,37,43,63
40,35,5,105,6,36,45,36,52
42,27,0,93,3,34,32,27,30
55,37,0,94,4,55,64,43,53
57,63,4,103,6,67,64,71,65
69,76,0,90,4,25,91,47,27
56,52,0,93,3,7,61,23,12
59,76,0,99,3,16,74,52,24
43,23,4,101,4,56,41,36,59
37,53,3,99,4,48,32,54,54
58,42,5,96,8,80,75,63,87
54,40,0,91,6,26,57,27,27
55,62,3,101,12,73,67,76,67
55,71,1,92,6,50,66,57,48
57,63,5,96,5,18,64,41,22
57,59,4,96,7,32,65,44,34
47,34,4,96,7,65,66,47,61
46,34,1,91,11,100,59,65,92
63,44,1,98,4,16,75,32,24
61,60,4,96,4,22,70,41,29
40,54,2,93,10,58,36,58,57
46,46,1,94,6,29,38,34,28
61,74,0,94,4,11,71,43,20
78,89,2,96,5,39,87,69,41
33,16,2,96,3,38,33,22,39
35,53,0,94,5,49,24,57,46
57,74,3,96,11,65,86,77,71
63,73,3,97,5,32,69,57,35
49,47,5,97,6,65,64,64,60
68,84,3,96,6,67,84,81,66
46,64,3,96,4,40,53,51,40
62,51,4,95,9,52,85,49,42
42,57,3,95,3,37,39,50,39
50,42,5,98,4,36,52,39,43
34,39,0,98,3,10,32,23,15
36,32,5,98,7,71,23,55,75
65,61,3,103,2,4,81,28,11
49,31,3,97,7,64,53,51,64
53,43,1,94,5,43,51,40,46
53,60,1,101,5,40,58,54,42
58,67,3,103,7,59,90,71,61
40,22,1,98,7,56,41,35,55
42,33,1,100,4,49,43,45,46
57,42,0,98,6,64,78,55,58
43,45,3,94,4,50,43,46,52
67,70,4,95,5,38,76,54,45
69,68,3,99,1,8,84,36,14
49,49,3,97,5,33,55,37,43
59,61,1,95,4,13,66,30,21
60,68,5,105,5,45,75,64,48
53,69,1,97,4,33,60,53,36
49,44,3,101,4,35,48,39,36
59,63,4,104,4,25,54,48,37
43,54,2,102,6,33,47,45,33
56,68,3,102,8,52,61,63,53
43,42,3,103,9,71,56,61,68
52,44,3,100,6,68,49,66,69
48,67,2,93,9,61,58,66,54
38,56,5,105,8,75,37,81,73
43,61,4,96,7,42,53,49,44
54,42,3,97,9,83,72,61,77
46,43,4,101,7,53,63,50,51
55,39,5,104,9,85,71,75,75
48,49,2,93,5,37,51,45,46
60,45,0,92,8,41,82,39,42
45,44,4,94,8,56,56,47,61
52,70,2,92,7,46,52,61,45
38,38,5,98,3,9,37,20,19
44,58,3,103,6,27,32,49,30
48,49,0,97,5,56,35,57,47
51,40,5,104,8,75,72,67,75
40,25,4,98,10,88,48,61,84
38,37,1,97,4,56,31,45,60
46,58,4,96,7,75,58,72,73
46,41,0,98,5,32,47,29,28
45,37,1,99,4,36,45,39,31
63,75,0,92,5,23,65,47,33
52,70,1,94,7,72,54,75,67
43,54,0,99,7,65,39,64,61
65,53,1,91,7,62,83,57,56
41,24,4,98,2,0,31,10,11
49,47,4,95,5,31,57,36,31
38,35,1,95,8,68,33,55,58
52,68,3,95,4,23,65,46,25
38,33,1,97,2,6,39,13,12
42,53,2,92,9,77,51,72,74
49,43,0,94,6,47,41,47,42
57,37,3,103,4,23,72,33,30
48,58,0,93,8,56,52,57,54
55,52,5,102,5,59,69,59,62
36,49,4,101,7,79,30,73,69
34,46,0,90,7,61,24,47,55
54,37,0,94,7,60,53,49,59
61,74,5,101,8,62,81,75,61
41,32,0,97,5,34,35,29,32
41,58,2,100,4,25,25,41,30
46,44,4,100,6,57,49,54,57
55,42,1,99,3,43,59,41,43
54,67,3,95,6,39,68,52,36
44,55,4,100,9,65,51,66,63
54,55,2,100,4,53,61,59,51
37,44,0,100,7,76,27,56,69
48,63,4,96,5,23,53,46,35
51,32,1,100,10,89,52,64,80
64,71,2,100,14,95,95,92,87
56,72,4,96,5,28,64,49,28
44,40,3,100,7,65,40,62,58
21,16,3,102,4,37,3,21,49
58,55,4,98,8,64,75,63,58
40,34,0,96,3,17,38,23,20
47,44,0,97,5,18,54,23,25
22,20,4,98,3,45,6,32,44
47,54,4,95,5,36,52,45,45
45,30,5,101,4,52,64,42,58
30,36,4,104,12,95,26,75,84
44,44,3,100,9,67,58,58,66
69,71,5,104,4,48,92,64,53
50,49,0,96,2,0,38,26,6
49,44,5,101,7,32,56,33,34
31,48,3,93,7,60,41,61,59
60,78,5,95,1,18,60,43,26
51,53,1,99,5,62,55,63,64
63,66,5,102,3,5,77,37,14
45,50,3,102,6,45,54,50,52
58,40,2,102,4,28,64,40,24
55,46,0,91,6,41,56,36,43
38,26,5,98,4,26,43,21,37
33,46,2,101,7,63,36,61,63
41,38,3,103,6,45,45,46,55
57,40,1,98,10,89,74,66,84
47,65,5,96,3,21,44,44,33
40,55,4,104,6,61,32,62,65
34,34,1,100,3,9,34,17,21
52,39,5,99,3,8,55,18,21
50,38,2,102,4,17,59,26,17
53,53,2,99,9,67,80,66,62
53,69,5,104,6,27,75,57,41
50,63,2,101,3,23,53,43,30
33,31,2,101,5,16,25,16,26
33,16,5,104,7,42,51,30,44
66,48,1,98,8,76,76,65,67
41,37,5,103,8,70,43,57,73
37,25,0,99,5,53,30,38,44
46,44,1,94,9,80,47,63,69
71,51,3,96,7,51,92,53,59
72,52,2,101,8,73,100,67,68
49,33,2,93,7,52,54,41,48
61,67,3,103,9,59,81,72,63
43,39,5,98,7,54,55,50,57
42,51,3,102,7,52,44,58,47
68,67,1,92,7,51,87,58,51
52,60,2,100,4,8,47,33,12
48,48,3,99,8,70,55,61,67
47,49,0,98,8,47,51,45,47
51,59,2,102,3,7,48,33,8
32,33,2,94,7,44,27,36,49
60,71,3,100,6,28,69,54,29
48,35,4,100,10,100,69,74,91
55,74,4,103,12,95,66,95,91
48,58,3,95,3,13,57,41,17
40,22,5,103,11,97,52,68,84
42,32,0,96,4,45,33,36,41
33,40,1,99,6,43,24,38,39
43,59,4,101,11,100,39,84,93
57,61,0,91,5,21,75,38,13
44,44,3,99,9,62,46,54,61
38,38,2,92,5,34,30,26,33
46,59,5,98,7,35,50,49,38
34,52,1,92,6,49,26,52,47
51,63,0,98,6,40,36,54,40
60,40,5,98,5,16,79,28,17
46,36,5,98,6,38,52,39,43
58,60,1,95,8,77,59,72,76
38,31,3,103,8,75,51,57,68
51,41,0,100,4,38,53,42,44
63,51,4,104,5,22,66,42,29
59,43,4,102,4,25,67,37,34
58,40,1,94,5,43,69,44,46
39,52,2,95,5,48,40,51,49
35,19,3,95,4,24,24,12,38
53,62,5,103,5,58,65,64,60
51,35,2,98,6,70,58,58,73
47,27,3,97,2,13,47,16,16
46,60,0,97,6,35,23,43,41
47,38,4,101,6,29,51,29,32
39,40,5,102,2,3,29,18,19
71,56,2,95,3,26,83,42,29
50,61,3,95,9,86,59,81,81
56,49,3,96,5,18,70,28,20
55,46,3,103,3,3,50,28,17
67,58,5,99,10,61,93,69,58
49,63,3,96,6,29,55,44,31
60,61,1,94,6,38,75,53,34
53,50,4,97,4,24,62,34,35
52,50,1,95,11,90,64,75,86
64,75,1,100,2,10,80,44,13
54,70,2,93,7,64,51,73,59
52,55,4,97,3,26,53,39,23
53,40,5,104,5,61,58,60,60
56,60,3,96,8,53,70,57,54
45,58,2,95,4,23,39,38,29
42,56,5,101,13,82,51,74,75
54,56,2,102,4,19,57,40,22
57,53,4,102,4,19,82,35,27
58,47,2,101,8,78,67,69,72
53,58,5,102,3,0,47,29,2
43,57,1,101,2,27,35,48,24
37,52,2,95,7,73,27,65,66
58,41,0,100,2,20,45,24,19
34,41,3,94,5,51,35,48,54
58,50,0,99,6,33,55,40,34
41,34,4,102,5,23,61,28,26
38,41,4,95,7,50,45,43,41
46,62,4,94,6,30,48,48,34
49,68,1,94,7,68,50,70,68
43,49,5,99,5,27,49,40,32
47,27,2,100,6,47,49,35,49
20,18,0,90,6,29,1,15,25
70,74,3,102,12,100,96,100,86
59,73,0,92,7,51,57,63,59
53,38,0,98,8,40,57,41,29
45,30,1,100,3,42,34,35,33
54,67,5,105,2,6,57,44,18
51,32,0,96,6,70,68,48,63
53,38,2,101,5,20,49,30,24
50,54,3,95,10,87,52,77,83
46,41,1,91,5,26,50,29,37
71,80,5,105,5,32,83,63,39
60,48,1,97,5,57,67,49,48
54,58,4,96,3,1,58,22,6
49,60,4,96,5,57,59,66,64
53,67,0,90,11,89,76,81,79
57,66,1,101,6,50,56,66,48
43,56,1,100,10,58,53,65,60
43,34,1,99,5,46,40,34,55
51,57,2,102,3,4,42,34,3
40,52,5,97,8,49,48,49,53
64,50,3,95,1,17,66,31,23
28,43,2,92,7,71,28,55,64
46,26,0,98,9,69,49,49,63
51,54,5,103,4,18,51,43,19
43,30,3,93,4,9,35,12,13
34,17,1,95,2,0,47,0,8
57,37,1,101,9,60,55,52,60
57,39,2,93,4,23,67,25,28
51,55,3,96,6,55,55,59,55
52,62,0,96,9,64,52,65,47
53,51,4,97,4,39,50,44,44
56,49,4,96,6,56,65,53,52
37,34,5,96,7,49,43,37,50
34,23,4,103,6,54,41,40,43
57,62,5,101,7,60,71,68,56
47,53,1,101,7,64,60,60,58
48,32,5,103,5,35,46,37,39
55,74,2,92,3,17,54,39,12
61,71,0,98,3,43,51,58,42
56,41,1,93,1,28,60,32,28
66,71,2,99,7,79,95,79,69
38,37,1,93,6,30,27,29,35
40,47,3,101,11,96,38,77,94
42,50,5,104,3,11,39,34,26
47,36,4,97,7,73,60,57,69
48,60,4,103,5,27,42,50,36
47,55,0,91,7,71,29,59,73
51,60,4,94,6,43,53,50,37
45,34,1,95,9,54,38,46,52
54,46,0,99,10,92,57,76,82
52,59,2,96,5,24,47,35,35
52,41,1,97,4,34,42,35,38
39,34,5,98,6,45,42,44,41
48,49,1,94,14,100,69,85,100
50,57,1,93,5,64,45,60,64
41,56,1,100,8,70,41,74,63
57,40,4,100,9,84,74,64,73
55,40,3,97,7,78,65,61,65
58,49,3,96,5,58,53,53,60
50,44,5,102,5,58,52,60,61
70,55,2,95,5,39,96,49,39
63,55,3,99,4,11,79,26,30
29,33,3,100,4,52,23,43,53
61,49,4,95,6,46,74,46,41
44,25,3,97,10,63,56,43,62
50,60,3,100,9,59,50,66,60
56,40,1,94,6,71,67,55,71
57,55,4,104,8,58,71,64,52
44,58,1,101,6,40,59,52,43
66,53,0,97,8,87,77,75,76
33,21,4,102,4,30,33,22,32
45,30,5,98,6,24,52,26,34
52,44,1,101,16,100,59,80,96
51,56,0,91,4,46,58,54,48
65,76,4,97,6,47,87,66,58
59,45,4,97,9,92,68,79,85
54,58,3,102,4,49,63,59,48
59,55,0,90,5,20,67,29,23
38,28,3,103,6,26,42,26,32
43,27,3,103,4,9,40,15,12
51,32,2,101,6,69,67,56,72
46,59,0,99,4,9,42,39,4
46,60,0,92,12,100,62,88,89
21,5,3,95,5,60,9,29,53
63,65,4,97,5,17,81,35,18
55,57,4,98,8,73,66,67,65
48,30,5,103,6,24,46,29,28
63,68,5,103,3,14,81,41,28
52,49,2,101,6,58,64,58,53
46,32,4,103,2,16,47,25,23
45,39,3,93,4,22,59,26,30
54,35,1,94,9,96,70,65,92
44,25,0,96,7,70,33,48,63
53,64,0,97,7,39,51,52,39
55,41,4,96,3,26,63,29,37
58,69,4,102,11,72,65,80,72
49,64,5,101,5,30,56,47,30
46,59,3,102,9,82,54,76,80
39,35,1,94,5,50,54,36,52
51,39,1,95,7,70,68,53,64
67,66,4,101,8,81,91,82,78
53,42,4,97,6,55,64,50,57
58,52,3,94,7,79,67,72,76
54,55,4,95,5,21,73,35,24
66,62,0,90,6,51,89,54,43
34,17,2,93,6,30,16,23,37
56,44,0,99,8,88,64,70,86
35,44,5,103,4,55,25,55,57
39,50,1,93,3,30,26,33,31
49,60,5,101,3,34,58,56,42
43,50,5,102,2,23,47,41,29
49,65,5,103,7,71,52,78,74
49,31,5,99,3,43,34,37,48
53,71,1,94,4,56,50,68,54
62,66,3,94,3,5,76,29,18
37,18,5,103,7,77,31,54,76
45,54,1,97,11,73,55,68,67
46,32,4,94,1,19,39,14,19
48,48,0,98,4,46,62,47,46
46,44,4,96,7,39,39,40,37
65,53,5,98,3,23,64,32,30
62,60,2,96,2,8,69,29,18
52,62,2,93,2,15,45,37,16
56,52,1,99,11,97,75,74,88
49,50,4,94,4,21,55,30,26
31,49,2,98,4,30,21,42,37
42,59,5,102,4,18,56,40,23
60,59,4,98,4,25,75,42,33
33,13,4,95,5,43,37,17,48
50,65,4,103,5,20,50,44,29
37,45,2,93,7,70,29,57,63
56,37,3,97,5,24,67,29,29
66,80,3,101,7,44,69,71,50
44,42,2,93,5,20,34,29,25
47,57,2,93,8,71,49,69,65
53,67,5,98,8,54,63,67,52
50,60,0,92,6,52,59,58,47
52,59,0,94,5,39,51,46,47
49,41,0,99,4,21,54,27,30
49,36,1,94,9,96,57,78,85
50,60,1,94,5,55,34,54,49
55,71,4,94,9,84,87,85,80
32,13,5,101,7,50,33,29,54
25,24,0,91,7,64,7,40,66
57,42,4,100,8,63,74,61,64
37,34,0,96,7,79,29,58,67
44,54,4,100,4,41,42,47,41
62,43,1,92,4,47,77,43,46
41,47,2,95,8,50,34,50,48
41,32,1,91,7,43,46,31,45
58,42,4,95,6,67,77,54,65
72,52,3,94,2,34,95,39,39
64,57,2,92,6,49,75,56,53
44,42,0,90,5,16,29,23,22
52,43,3,94,6,72,57,57,68
56,38,3,102,9,53,59,48,50
48,59,2,99,6,52,53,61,48
45,55,5,95,6,46,51,52,52
31,28,0,97,5,32,12,28,32
43,53,0,99,14,100,39,82,87
58,57,4,94,5,49,66,56,51
48,57,4,96,6,46,75,62,52
52,53,0,94,5,55,42,50,47
50,59,5,97,2,39,49,53,44
37,40,5,97,6,57,46,50,56
45,42,2,92,9,72,60,56,67
45,26,5,97,3,5,49,11,23
55,41,2,96,5,47,61,44,43
59,52,5,96,3,31,73,43,39
68,62,4,94,4,10,82,32,17
66,62,5,104,1,0,77,34,4
44,46,2,102,5,32,36,43,31
52,59,0,100,7,40,68,54,40
31,29,3,96,5,57,23,43,53
65,46,4,96,7,33,85,39,33
46,39,5,103,4,25,57,26,35
66,75,3,99,4,27,63,50,26
37,51,3,103,4,45,43,51,45
52,44,5,103,4,16,47,30,19
36,27,5,103,8,71,45,52,67
62,54,4,102,1,32,75,51,33
48,35,4,97,10,62,65,50,63
53,47,3,103,4,14,54,29,23
45,50,4,95,8,56,56,55,61
27,23,4,101,5,43,15,33,42
55,48,1,101,4,49,61,50,52
44,60,1,95,3,15,38,35,14
42,34,0,92,4,42,43,33,50
46,60,1,97,7,65,48,64,59
36,19,1,92,3,26,27,19,31
47,33,1,91,17,100,67,67,89
56,58,4,102,9,61,78,64,58
46,62,2,92,4,24,38,40,22
59,63,2,95,3,37,57,53,41
40,42,2,102,5,43,49,45,49
62,74,4,101,8,84,87,90,77
51,64,2,99,4,48,55,59,58
51,58,1,92,12,95,55,81,86
47,43,1,92,5,29,57,25,40
48,64,3,96,4,46,46,62,46
66,78,1,98,7,47,90,74,40
59,52,1,98,6,38,58,42,43
31,25,2,101,4,10,32,14,14
57,42,2,96,7,73,65,63,67
61,41,2,100,11,100,77,81,93
54,59,1,100,4,53,63,61,56
52,39,4,100,4,25,54,31,30
50,64,0,96,4,50,36,62,47
43,35,1,99,4,12,42,24,13
42,32,1,92,8,51,41,36,49
58,53,1,98,6,45,69,48,48
58,56,4,95,7,79,77,76,77
40,27,3,96,6,52,38,38,53
41,37,2,94,6,64,40,51,62
35,31,0,92,9,81,44,54,68
51,67,0,94,5,17,56,37,16
51,63,0,94,2,10,32,33,9
49,60,5,96,8,79,54,69,75
53,65,0,96,8,66,46,66,64
62,59,0,90,6,45,70,50,48
48,53,1,101,7,63,51,62,61
55,53,0,96,4,10,58,29,11
49,31,4,101,7,50,64,41,47
48,29,3,100,6,66,54,50,64
58,40,2,102,3,19,85,27,35
37,35,0,93,8,41,29,31,52
30,10,3,97,2,10,23,2,18
74,86,5,102,6,40,97,69,45
45,51,0,98,6,47,43,48,42
38,30,4,103,4,15,36,21,20
53,38,4,103,5,20,56,33,29
57,59,1,92,0,22,57,38,30
61,60,0,96,8,86,70,79,78
54,59,3,93,8,73,57,66,72
60,42,1,99,8,42,66,46,39
47,42,2,92,7,47,44,45,47
45,35,3,93,8,75,47,55,64
56,44,1,101,3,29,57,37,34
47,60,2,93,10,73,61,74,74
53,49,5,98,6,38,54,46,39
72,72,0,99,8,60,94,75,54
51,61,3,100,9,58,49,66,67
54,69,1,94,6,70,52,78,61
37,18,5,102,7,41,43,30,48
62,54,5,105,10,73,87,71,67
45,42,2,100,4,39,51,38,42
41,42,5,104,5,52,28,48,50
54,41,5,96,8,53,62,46,55
45,60,0,97,1,0,45,22,2
52,44,5,98,5,44,65,45,50
47,38,3,95,5,43,56,38,47
60,63,2,100,7,38,59,57,48
63,70,5,98,7,62,85,69,66
53,59,2,93,7,42,59,47,36
52,48,3,97,5,51,55,50,43
56,63,2,99,7,37,70,55,37
63,45,1,98,6,27,65,31,32
40,31,2,101,5,59,38,48,54
30,13,5,102,9,58,34,45,63
58,52,5,97,5,37,66,45,45
42,60,5,97,7,42,55,56,49
57,49,5,97,7,77,65,65,78
47,41,2,100,4,10,46,20,11
56,49,0,94,4,13,59,29,15
48,29,2,92,2,19,42,17,31
48,36,1,94,8,87,68,64,80
63,54,4,97,3,13,89,35,17
33,44,4,94,7,62,25,46,62
45,42,0,96,3,41,41,37,39
64,63,2,93,6,45,88,56,53
39,33,3,100,4,53,44,44,57
60,42,0,99,7,79,64,64,71
57,56,2,100,4,29,59,40,36
32,24,0,90,6,38,38,26,39
62,69,2,102,9,80,78,87,71
